"pgbench","setId","vmId"
79844,8,1
79844,8,1
79844,8,1
79844,8,1
79844,8,1
79844,8,1
79844,8,1
79519.6666666667,9,1
79519.6666666667,9,1
79519.6666666667,9,1
79519.6666666667,9,1
79519.6666666667,9,1
79519.6666666667,9,1
79519.6666666667,9,1
77325,10,1
77325,10,1
77325,10,1
77325,10,1
77325,10,1
77325,10,1
77325,10,1
75829.3333333333,11,1
75829.3333333333,11,1
75829.3333333333,11,1
75829.3333333333,11,1
75829.3333333333,11,1
75829.3333333333,11,1
75829.3333333333,11,1
74892,12,1
74892,12,1
74892,12,1
74892,12,1
74892,12,1
74892,12,1
74892,12,1
74197.6666666667,13,1
74197.6666666667,13,1
74197.6666666667,13,1
74197.6666666667,13,1
74197.6666666667,13,1
74197.6666666667,13,1
74197.6666666667,13,1
72414.3333333333,14,1
72414.3333333333,14,1
72414.3333333333,14,1
72414.3333333333,14,1
72414.3333333333,14,1
72414.3333333333,14,1
72414.3333333333,14,1
69942.6666666667,15,1
69942.6666666667,15,1
69942.6666666667,15,1
69942.6666666667,15,1
69942.6666666667,15,1
69942.6666666667,15,1
69942.6666666667,15,1
68829,16,1
68829,16,1
68829,16,1
68829,16,1
68829,16,1
68829,16,1
68829,16,1
84436.3333333333,2,2
84436.3333333333,2,2
84436.3333333333,2,2
84436.3333333333,2,2
84436.3333333333,2,2
84436.3333333333,2,2
84436.3333333333,2,2
83857.6666666667,3,2
83857.6666666667,3,2
83857.6666666667,3,2
83857.6666666667,3,2
83857.6666666667,3,2
83857.6666666667,3,2
83857.6666666667,3,2
83133.3333333333,4,2
83133.3333333333,4,2
83133.3333333333,4,2
83133.3333333333,4,2
83133.3333333333,4,2
83133.3333333333,4,2
83133.3333333333,4,2
81928,5,2
81928,5,2
81928,5,2
81928,5,2
81928,5,2
81928,5,2
81928,5,2
81724.3333333333,6,2
81724.3333333333,6,2
81724.3333333333,6,2
81724.3333333333,6,2
81724.3333333333,6,2
81724.3333333333,6,2
81724.3333333333,6,2
80173.6666666667,7,2
80173.6666666667,7,2
80173.6666666667,7,2
80173.6666666667,7,2
80173.6666666667,7,2
80173.6666666667,7,2
80173.6666666667,7,2
78944.3333333333,8,2
78944.3333333333,8,2
78944.3333333333,8,2
78944.3333333333,8,2
78944.3333333333,8,2
78944.3333333333,8,2
78944.3333333333,8,2
78662.3333333333,9,2
78662.3333333333,9,2
78662.3333333333,9,2
78662.3333333333,9,2
78662.3333333333,9,2
78662.3333333333,9,2
78662.3333333333,9,2
76385.3333333333,10,2
76385.3333333333,10,2
76385.3333333333,10,2
76385.3333333333,10,2
76385.3333333333,10,2
76385.3333333333,10,2
76385.3333333333,10,2
75092,11,2
75092,11,2
75092,11,2
75092,11,2
75092,11,2
75092,11,2
75092,11,2
74238.6666666667,12,2
74238.6666666667,12,2
74238.6666666667,12,2
74238.6666666667,12,2
74238.6666666667,12,2
74238.6666666667,12,2
74238.6666666667,12,2
73593.6666666667,13,2
73593.6666666667,13,2
73593.6666666667,13,2
73593.6666666667,13,2
73593.6666666667,13,2
73593.6666666667,13,2
73593.6666666667,13,2
71827,14,2
71827,14,2
71827,14,2
71827,14,2
71827,14,2
71827,14,2
71827,14,2
69405,15,2
69405,15,2
69405,15,2
69405,15,2
69405,15,2
69405,15,2
69405,15,2
68329.6666666667,16,2
68329.6666666667,16,2
68329.6666666667,16,2
68329.6666666667,16,2
68329.6666666667,16,2
68329.6666666667,16,2
68329.6666666667,16,2
81533.3333333333,3,3
81533.3333333333,3,3
81533.3333333333,3,3
81533.3333333333,3,3
81533.3333333333,3,3
