"pgbench","setId","vmId"
57429,4,1
57429,4,1
57429,4,1
57429,4,1
57429,4,1
57429,4,1
57429,4,1
55900.3333333333,5,1
55900.3333333333,5,1
55900.3333333333,5,1
55900.3333333333,5,1
55900.3333333333,5,1
55900.3333333333,5,1
55900.3333333333,5,1
56679,6,1
56679,6,1
56679,6,1
56679,6,1
56679,6,1
56679,6,1
56679,6,1
54894.3333333333,7,1
54894.3333333333,7,1
54894.3333333333,7,1
54894.3333333333,7,1
54894.3333333333,7,1
54894.3333333333,7,1
54894.3333333333,7,1
57475.6666666667,8,1
57475.6666666667,8,1
57475.6666666667,8,1
57475.6666666667,8,1
57475.6666666667,8,1
57475.6666666667,8,1
57475.6666666667,8,1
57250.6666666667,9,1
57250.6666666667,9,1
57250.6666666667,9,1
57250.6666666667,9,1
57250.6666666667,9,1
57250.6666666667,9,1
57250.6666666667,9,1
57360.6666666667,10,1
57360.6666666667,10,1
57360.6666666667,10,1
57360.6666666667,10,1
57360.6666666667,10,1
57360.6666666667,10,1
57360.6666666667,10,1
56507.3333333333,11,1
56507.3333333333,11,1
56507.3333333333,11,1
56507.3333333333,11,1
56507.3333333333,11,1
56507.3333333333,11,1
56507.3333333333,11,1
56929.3333333333,12,1
56929.3333333333,12,1
56929.3333333333,12,1
56929.3333333333,12,1
56929.3333333333,12,1
56929.3333333333,12,1
56929.3333333333,12,1
58077.6666666667,13,1
58077.6666666667,13,1
58077.6666666667,13,1
58077.6666666667,13,1
58077.6666666667,13,1
58077.6666666667,13,1
58077.6666666667,13,1
55683,14,1
55683,14,1
55683,14,1
55683,14,1
55683,14,1
55683,14,1
55683,14,1
56624,15,1
56624,15,1
56624,15,1
56624,15,1
56624,15,1
56624,15,1
56624,15,1
56050.3333333333,16,1
56050.3333333333,16,1
56050.3333333333,16,1
56050.3333333333,16,1
56050.3333333333,16,1
56050.3333333333,16,1
56050.3333333333,16,1
61089.6666666667,2,2
61089.6666666667,2,2
61089.6666666667,2,2
