"iperf","sysbench","ycruncher","pgbench","set","vm"
1038,8.4561,7.384,54133,7,1
1036,8.4455,7.396,55861,7,1
993,8.4497,7.371,54689,7,1
1211,8.4481,7.371,54894.3333333333,7,1
1214,8.4546,7.364,54894.3333333333,7,1
1208,8.4524,7.38,54894.3333333333,7,1
1183,8.4542,7.371,54894.3333333333,7,1
1174,8.4672,7.712,54894.3333333333,7,1
1199,8.4511,8.165,54894.3333333333,7,1
1185,8.4579,7.374,54894.3333333333,7,1
1203,8.4597,7.397,62514,7,2
1192,8.4567,7.387,62525,7,2
1184,8.4566,7.381,62146,7,2
1213,8.4529,7.377,62395,7,2
1163,8.4561,7.354,62395,7,2
1234,8.4529,7.378,62395,7,2
986,8.4549,7.352,62395,7,2
1045,8.4659,7.738,62395,7,2
922,8.4514,8.114,62395,7,2
1032,8.4574,7.362,62395,7,2
1237,8.4555,7.396,60654,7,3
1042,8.4526,7.404,60826,7,3
1026,8.4535,7.396,58833,7,3
1154,8.4587,7.362,60104.3333333333,7,3
1168,8.4559,7.376,60104.3333333333,7,3
1121,8.4523,7.392,60104.3333333333,7,3
1098,8.4786,7.394,60104.3333333333,7,3
990,8.4674,7.767,60104.3333333333,7,3
1079,8.4524,8.117,60104.3333333333,7,3
1083,8.4547,7.378,60104.3333333333,7,3
1216,8.4492,7.252,55545,7,4
1012,8.4544,7.255,55424,7,4
1072,8.4498,7.24,55403,7,4
1100,8.4487,7.261,55457.3333333333,7,4
1098,8.4527,7.232,55457.3333333333,7,4
1086,8.4562,7.257,55457.3333333333,7,4
1048,8.4494,7.24,55457.3333333333,7,4
1145,8.4473,7.494,55457.3333333333,7,4
1182,8.4526,7.79,55457.3333333333,7,4
1181,8.4558,7.243,55457.3333333333,7,4
1128,8.451,7.348,52212,7,5
1143,8.4463,7.38,52241,7,5
1159,8.451,7.363,52029,7,5
1184,8.4522,7.348,52160.6666666667,7,5
1177,8.4454,7.324,52160.6666666667,7,5
993,8.4456,7.355,52160.6666666667,7,5
1193,8.4555,7.365,52160.6666666667,7,5
1201,8.4506,7.689,52160.6666666667,7,5
1008,8.4497,8.137,52160.6666666667,7,5
1053,8.4569,7.362,52160.6666666667,7,5
1208,8.4551,7.366,61031,7,6
1191,8.4546,7.386,61098,7,6
1172,8.4451,7.335,61756,7,6
1190,8.4496,7.332,61295,7,6
1158,8.454,7.367,61295,7,6
1227,8.4545,7.335,61295,7,6
1152,8.4516,7.354,61295,7,6
1199,8.4466,7.698,61295,7,6
1222,8.4579,8.063,61295,7,6
908,8.4494,7.356,61295,7,6
1245,8.4554,7.337,51734,7,7
1179,8.4503,7.347,50695,7,7
1176,8.4527,7.327,51889,7,7
1188,8.4554,7.334,51439.3333333333,7,7
1183,8.4542,7.314,51439.3333333333,7,7
1181,8.4628,7.338,51439.3333333333,7,7
1085,8.4521,7.37,51439.3333333333,7,7
1204,8.4713,7.676,51439.3333333333,7,7
1215,8.4564,8.155,51439.3333333333,7,7
1218,8.4548,7.337,51439.3333333333,7,7
1047,8.4624,7.526,57623,8,1
1199,8.4511,7.516,57366,8,1
1183,8.4516,7.533,57438,8,1
1238,8.4537,7.553,57475.6666666667,8,1
1202,8.4516,7.535,57475.6666666667,8,1
1182,8.4548,7.524,57475.6666666667,8,1
899,8.4522,7.548,57475.6666666667,8,1
973,8.4601,7.562,57475.6666666667,8,1
1215,8.4651,7.544,57475.6666666667,8,1
1201,8.4498,7.527,57475.6666666667,8,1
895,8.4652,7.52,62576,8,2
1027,8.4476,7.52,62537,8,2
1136,8.4465,7.535,63074,8,2
1217,8.461,7.541,62729,8,2
1230,8.4534,7.536,62729,8,2
1188,8.4488,7.527,62729,8,2
1040,8.4531,7.551,62729,8,2
1195,8.4718,7.555,62729,8,2
1021,8.4526,7.545,62729,8,2
1161,8.4521,7.547,62729,8,2
588,8.4499,7.541,61862,8,3
911,8.4502,7.536,62272,8,3
921,8.4472,7.563,62543,8,3
1243,8.4588,7.566,62225.6666666667,8,3
1005,8.4489,7.53,62225.6666666667,8,3
938,8.4557,7.551,62225.6666666667,8,3
977,8.4683,7.572,62225.6666666667,8,3
985,8.4645,7.564,62225.6666666667,8,3
903,8.4544,7.547,62225.6666666667,8,3
893,8.4512,7.596,62225.6666666667,8,3
950,8.4519,7.242,54386,8,4
972,8.4534,7.24,55207,8,4
909,8.4521,7.246,53783,8,4
1149,8.4518,7.251,54458.6666666667,8,4
1186,8.4569,7.247,54458.6666666667,8,4
1193,8.464,7.257,54458.6666666667,8,4
791,8.4549,7.245,54458.6666666667,8,4
1021,8.4518,7.229,54458.6666666667,8,4
1078,8.4569,7.247,54458.6666666667,8,4
1022,8.4508,7.243,54458.6666666667,8,4
980,8.4565,7.518,54445,8,5
930,8.4544,7.508,54613,8,5
892,8.4492,7.515,53234,8,5
1192,8.4536,7.543,54097.3333333333,8,5
1024,8.4464,7.503,54097.3333333333,8,5
1049,8.4482,7.525,54097.3333333333,8,5
937,8.4549,7.545,54097.3333333333,8,5
955,8.453,7.563,54097.3333333333,8,5
679,8.4566,7.523,54097.3333333333,8,5
962,8.464,7.532,54097.3333333333,8,5
1058,8.4494,7.499,62254,8,6
1166,8.4584,7.492,61949,8,6
1185,8.4505,7.546,62175,8,6
1220,8.4543,7.546,62126,8,6
1076,8.453,7.517,62126,8,6
1174,8.4674,7.515,62126,8,6
923,8.4559,7.53,62126,8,6
976,8.4472,7.537,62126,8,6
976,8.4511,7.531,62126,8,6
912,8.4446,7.518,62126,8,6
1213,8.4631,7.477,53444,8,7
820,8.4522,7.522,55978,8,7
1001,8.4535,7.525,54656,8,7
1153,8.4565,7.512,54692.6666666667,8,7
1214,8.4543,7.503,54692.6666666667,8,7
1204,8.4574,7.502,54692.6666666667,8,7
977,8.458,7.509,54692.6666666667,8,7
1149,8.4699,7.55,54692.6666666667,8,7
1210,8.4549,7.511,54692.6666666667,8,7
937,8.4555,7.513,54692.6666666667,8,7
1225,8.4517,7.535,54791,8,8
1120,8.4487,7.538,54207,8,8
1028,8.4503,7.538,54635,8,8
1182,8.4516,7.6,54544.3333333333,8,8
1060,8.4513,7.555,54544.3333333333,8,8
1005,8.4479,7.543,54544.3333333333,8,8
933,8.4621,7.569,54544.3333333333,8,8
1148,8.4478,7.562,54544.3333333333,8,8
1216,8.4462,7.564,54544.3333333333,8,8
1095,8.453,7.559,54544.3333333333,8,8
1246,8.4577,7.502,57619,9,1
1025,8.4557,7.505,56115,9,1
1050,8.4511,7.554,58018,9,1
913,8.4567,7.605,57250.6666666667,9,1
886,8.4536,7.546,57250.6666666667,9,1
1227,8.4552,7.558,57250.6666666667,9,1
1206,8.4549,7.54,57250.6666666667,9,1
1202,8.4607,7.588,57250.6666666667,9,1
1186,8.4574,7.563,57250.6666666667,9,1
942,8.4483,7.568,57250.6666666667,9,1
973,8.4537,7.533,62637,9,2
1063,8.4518,7.537,63073,9,2
1022,8.456,7.531,62442,9,2
862,8.4545,7.607,62717.3333333333,9,2
1170,8.4558,7.543,62717.3333333333,9,2
1211,8.4521,7.569,62717.3333333333,9,2
1236,8.4572,7.572,62717.3333333333,9,2
1186,8.4676,7.618,62717.3333333333,9,2
1159,8.4489,7.564,62717.3333333333,9,2
972,8.4518,7.574,62717.3333333333,9,2
896,8.4563,7.519,62623,9,3
1127,8.4514,7.552,62567,9,3
1088,8.4516,7.542,62827,9,3
910,8.4574,7.601,62672.3333333333,9,3
836,8.451,7.545,62672.3333333333,9,3
912,8.4521,7.582,62672.3333333333,9,3
987,8.466,7.592,62672.3333333333,9,3
910,8.468,7.624,62672.3333333333,9,3
975,8.4552,7.607,62672.3333333333,9,3
1204,8.4519,7.62,62672.3333333333,9,3
902,8.4506,7.266,54702,9,4
1073,8.4555,7.269,53720,9,4
1157,8.4541,7.264,53976,9,4
891,8.4504,7.287,54132.6666666667,9,4
764,8.4526,7.31,54132.6666666667,9,4
909,8.4631,7.258,54132.6666666667,9,4
750,8.4586,7.262,54132.6666666667,9,4
924,8.4534,7.263,54132.6666666667,9,4
940,8.4568,7.254,54132.6666666667,9,4
1212,8.4514,7.241,54132.6666666667,9,4
1241,8.4605,7.494,53683,9,5
1140,8.4514,7.52,54531,9,5
1245,8.4512,7.509,53357,9,5
940,8.454,7.553,53857,9,5
935,8.4514,7.525,53857,9,5
918,8.4535,7.537,53857,9,5
909,8.46,7.535,53857,9,5
941,8.4514,7.589,53857,9,5
1237,8.4561,7.549,53857,9,5
1002,8.4623,7.555,53857,9,5
927,8.4455,7.492,62788,9,6
1219,8.4515,7.521,62803,9,6
1185,8.4453,7.543,63236,9,6
934,8.4454,7.571,62942.3333333333,9,6
934,8.4505,7.515,62942.3333333333,9,6
891,8.4521,7.544,62942.3333333333,9,6
