instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,,,
i-09c2aac4490d11677,1531185246,c4.large,60.20496964,10,10,1,TPC-B (sort of),simple,60 s,53740,53740,,
i-09c2aac4490d11677,1531185246,c4.large,60.20091295,10,10,1,TPC-B (sort of),simple,60 s,53513,53513,,
i-09c2aac4490d11677,1531185246,c4.large,60.20119786,10,10,1,TPC-B (sort of),simple,60 s,53159,53159,,
i-09c2aac4490d11677,1531185246,c4.large,60.21274567,10,10,1,TPC-B (sort of),simple,60 s,51683,51683,,
i-09c2aac4490d11677,1531185246,c4.large,60.21522021,10,10,1,TPC-B (sort of),simple,60 s,51494,51494,,
i-09c2aac4490d11677,1531185246,c4.large,60.21916389,10,10,1,TPC-B (sort of),simple,60 s,51559,51559,,
i-09c2aac4490d11677,1531185246,c4.large,60.20874453,10,10,1,TPC-B (sort of),simple,60 s,52711,52711,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.25398803,10,10,1,TPC-B (sort of),simple,60 s,61588,61588,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.1577425,10,10,1,TPC-B (sort of),simple,60 s,61541,61541,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.1585331,10,10,1,TPC-B (sort of),simple,60 s,61198,61198,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15514946,10,10,1,TPC-B (sort of),simple,60 s,61019,61019,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15404892,10,10,1,TPC-B (sort of),simple,60 s,61943,61943,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.169842,10,10,1,TPC-B (sort of),simple,60 s,61823,61823,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15636134,10,10,1,TPC-B (sort of),simple,60 s,61280,61280,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.16001654,10,10,1,TPC-B (sort of),simple,60 s,60440,60440,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15493035,10,10,1,TPC-B (sort of),simple,60 s,60613,60613,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15207529,10,10,1,TPC-B (sort of),simple,60 s,60672,60672,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15862632,10,10,1,TPC-B (sort of),simple,60 s,60868,60868,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15479279,10,10,1,TPC-B (sort of),simple,60 s,60283,60283,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15747046,10,10,1,TPC-B (sort of),simple,60 s,58694,58694,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15494585,10,10,1,TPC-B (sort of),simple,60 s,59577,59577,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15612626,10,10,1,TPC-B (sort of),simple,60 s,60557,60557,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15654206,10,10,1,TPC-B (sort of),simple,60 s,60516,60516,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15840864,10,10,1,TPC-B (sort of),simple,60 s,61668,61668,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.16468406,10,10,1,TPC-B (sort of),simple,60 s,61266,61266,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15411735,10,10,1,TPC-B (sort of),simple,60 s,61066,61066,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.1546092,10,10,1,TPC-B (sort of),simple,60 s,60900,60900,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15841222,10,10,1,TPC-B (sort of),simple,60 s,60469,60469,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15398312,10,10,1,TPC-B (sort of),simple,60 s,61080,61080,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15873647,10,10,1,TPC-B (sort of),simple,60 s,60426,60426,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15908957,10,10,1,TPC-B (sort of),simple,60 s,60307,60307,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.1656146,10,10,1,TPC-B (sort of),simple,60 s,60529,60529,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15976667,10,10,1,TPC-B (sort of),simple,60 s,60926,60926,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.16030002,10,10,1,TPC-B (sort of),simple,60 s,59982,59982,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.21044731,10,10,1,TPC-B (sort of),simple,60 s,61101,61101,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.16577029,10,10,1,TPC-B (sort of),simple,60 s,60958,60958,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.16054893,10,10,1,TPC-B (sort of),simple,60 s,61128,61128,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.15994406,10,10,1,TPC-B (sort of),simple,60 s,60662,60662,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.16327024,10,10,1,TPC-B (sort of),simple,60 s,61117,61117,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.17332315,10,10,1,TPC-B (sort of),simple,60 s,61080,61080,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.16847157,10,10,1,TPC-B (sort of),simple,60 s,60241,60241,,
i-0b86e138d9b800d3f,1531185246,c4.large,60.17687201,10,10,1,TPC-B (sort of),simple,60 s,60483,60483,,
i-0073d2744d662d0d0,1531185246,c4.large,60.42896628,10,10,1,TPC-B (sort of),simple,60 s,49515,49515,,
i-0073d2744d662d0d0,1531185246,c4.large,60.21047115,10,10,1,TPC-B (sort of),simple,60 s,51815,51815,,
i-0073d2744d662d0d0,1531185246,c4.large,60.19735098,10,10,1,TPC-B (sort of),simple,60 s,51502,51502,,
i-0073d2744d662d0d0,1531185246,c4.large,60.28721952,10,10,1,TPC-B (sort of),simple,60 s,49481,49481,,
i-0073d2744d662d0d0,1531185246,c4.large,60.35478067,10,10,1,TPC-B (sort of),simple,60 s,49408,49408,,
i-0073d2744d662d0d0,1531185246,c4.large,60.20482707,10,10,1,TPC-B (sort of),simple,60 s,50720,50720,,
i-0073d2744d662d0d0,1531185246,c4.large,60.3827405,10,10,1,TPC-B (sort of),simple,60 s,50762,50762,,
i-0073d2744d662d0d0,1531185246,c4.large,60.32006669,10,10,1,TPC-B (sort of),simple,60 s,50939,50939,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.344208,10,10,1,TPC-B (sort of),simple,60 s,59139,59139,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.16967177,10,10,1,TPC-B (sort of),simple,60 s,59092,59092,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.23268414,10,10,1,TPC-B (sort of),simple,60 s,58591,58591,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.30816865,10,10,1,TPC-B (sort of),simple,60 s,60248,60248,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.15665913,10,10,1,TPC-B (sort of),simple,60 s,60570,60570,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.15441823,10,10,1,TPC-B (sort of),simple,60 s,60118,60118,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.23737597,10,10,1,TPC-B (sort of),simple,60 s,59343,59343,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.21839547,10,10,1,TPC-B (sort of),simple,60 s,59914,59914,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.24655366,10,10,1,TPC-B (sort of),simple,60 s,59259,59259,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.23336148,10,10,1,TPC-B (sort of),simple,60 s,59328,59328,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.25394821,10,10,1,TPC-B (sort of),simple,60 s,57963,57963,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.25127125,10,10,1,TPC-B (sort of),simple,60 s,59230,59230,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.24620485,10,10,1,TPC-B (sort of),simple,60 s,60213,60213,,
i-0050a5948a2ad13c6,1531185246,c4.large,60.15878797,10,10,1,TPC-B (sort of),simple,60 s,60091,60091,,
