instanceID,instanceType,experimentID,interval,bandwidthUpload,bandwitdhDownload,Upload,Download,Total,setId,vmId,cmd,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.48 Gbits/sec,5.47 Gbits/sec,9.48,5.47,14.95,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.59 Gbits/sec,6.35 Gbits/sec,9.59,6.35,15.94,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,6.81 Gbits/sec,9.6,6.81,16.41,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.54 Gbits/sec,6.65 Gbits/sec,9.54,6.65,16.19,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,8.81 Gbits/sec,6.04 Gbits/sec,8.81,6.04,14.85,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,7.44 Gbits/sec,9.6,7.44,17.04,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,6.26 Gbits/sec,9.6,6.26,15.86,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,6.56 Gbits/sec,9.6,6.56,16.16,3,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,13.0694242424242,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,1.45 Gbits/sec,1.18 Gbits/sec,1.45,1.18,2.63,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,739 Mbits/sec,4.50 Gbits/sec,0.739,4.5,5.239,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,744 Mbits/sec,746 Mbits/sec,0.744,0.746,1.49,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,743 Mbits/sec,0.745,0.743,1.488,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,762 Mbits/sec,0.745,0.762,1.507,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,743 Mbits/sec,0.745,0.743,1.488,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,744 Mbits/sec,0.745,0.744,1.489,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,743 Mbits/sec,0.745,0.743,1.488,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,744 Mbits/sec,743 Mbits/sec,0.744,0.743,1.487,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,743 Mbits/sec,743 Mbits/sec,0.743,0.743,1.486,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-024fbd0ce0d3c4378,m5d.large,1567242764,15.0 sec,745 Mbits/sec,735 Mbits/sec,0.745,0.735,1.48,4,1,iperf -c 172.31.95.6 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,7.13 Gbits/sec,4.89 Gbits/sec,7.13,4.89,12.02,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,6.98 Gbits/sec,5.99 Gbits/sec,6.98,5.99,12.97,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,8.30 Gbits/sec,3.70 Gbits/sec,8.3,3.7,12,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,7.05 Gbits/sec,3.90 Gbits/sec,7.05,3.9,10.95,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,9.52 Gbits/sec,5.40 Gbits/sec,9.52,5.4,14.92,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,4.63 Gbits/sec,2.68 Gbits/sec,4.63,2.68,7.31,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,745 Mbits/sec,752 Mbits/sec,0.745,0.752,1.497,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,745 Mbits/sec,775 Mbits/sec,0.745,0.775,1.52,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,745 Mbits/sec,775 Mbits/sec,0.745,0.775,1.52,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,746 Mbits/sec,6.90 Gbits/sec,0.746,6.9,7.646,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-089561b7262d5dec3,m5d.large,1567242764,15.0 sec,2.01 Gbits/sec,1.43 Gbits/sec,2.01,1.43,3.44,4,2,iperf -c 172.31.83.31 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,8.93 Gbits/sec,6.03 Gbits/sec,8.93,6.03,14.96,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,7.25 Gbits/sec,4.99 Gbits/sec,7.25,4.99,12.24,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,8.54 Gbits/sec,4.17 Gbits/sec,8.54,4.17,12.71,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,7.15 Gbits/sec,3.89 Gbits/sec,7.15,3.89,11.04,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,7.11 Gbits/sec,6.21 Gbits/sec,7.11,6.21,13.32,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,6.62 Gbits/sec,9.6,6.62,16.22,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,6.95 Gbits/sec,9.6,6.95,16.55,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,6.96 Gbits/sec,9.6,6.96,16.56,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.60 Gbits/sec,7.13 Gbits/sec,9.6,7.13,16.73,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.59 Gbits/sec,6.12 Gbits/sec,9.59,6.12,15.71,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-08681d3d91228f400,m5d.large,1567242764,15.0 sec,9.09 Gbits/sec,6.94 Gbits/sec,9.09,6.94,16.03,4,3,iperf -c 172.31.82.239 --dualtest --window 416k --time 15,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,6.99 Gbits/sec,5.94 Gbits/sec,6.99,5.94,12.93,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,,
i-0a43dd0ab0b838139,m5d.large,1567242764,15.0 sec,9.38 Gbits/sec,4.90 Gbits/sec,9.38,4.9,14.28,4,4,iperf -c 172.31.91.26 --dualtest --window 416k --time 15,,,,,
