iperf,sysbench,ycruncher,pgbench,setId,vmId
1.559,9.0237,4.322,31581,12,2
2.52,9.0366,4.271,40044,12,3
1.834,9.0244,4.277,39366,12,3
1.515,9.0251,4.298,39449,12,3
4.24,9.0264,4.284,35797,12,4
2.865,9.0179,4.29,36364,12,4
3.063,9.0182,4.29,36804,12,4
4.23,9.0325,4.09,32776,12,5
3.85,9.0366,4.074,32416,12,5
1.494,9.0176,4.056,31789,12,5
2.47,9.0168,4.276,32881,12,6
1.484,9.0395,4.294,32412,12,6
3.452,9.0394,4.299,31385,12,6
2.6,9.0306,4.06,33119,12,7
2.803,9.0273,4.068,32532,12,7
3.093,9.0167,4.071,31356,12,7
6.79,9.0315,4.086,48012,12,8
7.47,9.0299,4.101,47527,12,8
8.65,9.0322,4.088,47014,12,8
4.1,9.0224,4.264,36237,12,9
6.5,9.0275,4.273,36347,12,9
5.91,9.0332,4.262,36707,12,9
4.52,9.0259,4.32,55399,12,10
5.29,9.0193,4.319,55200,12,10
5.57,9.021,4.303,55101,12,10
4.22,9.0159,4.277,36345,12,11
5.66,9.0347,4.285,35863,12,11
6.08,9.0234,4.278,36348,12,11
6.87,9.0271,4.117,40203,12,12
6.3,9.0205,4.103,39618,12,12
6.33,9.0335,4.113,39456,12,12
3.07,9.0226,4.281,32900,13,1
1.495,9.0307,4.295,30707,13,1
1.576,9.0311,4.275,31227,13,1
2.9,9.0191,4.308,37150,13,2
1.489,9.018,4.331,36613,13,2
1.564,9.0329,4.331,37037,13,2
1.87,9.0346,4.288,33060,13,3
2.125,9.0185,4.296,30676,13,3
1.493,9.0252,4.277,31063,13,3
2.52,9.0252,4.277,37067,13,4
1.49,9.0182,4.297,36528,13,4
3.013,9.0198,4.285,37009,13,4
2.359,9.0229,4.201,36947,13,5
1.943,9.0326,4.193,36189,13,5
1.562,9.0147,4.191,35913,13,5
3.14,9.0317,4.278,33330,13,6
2.976,9.0356,4.299,30876,13,6
1.506,9.0192,4.282,31040,13,6
2.48,9.0173,4.233,33435,13,7
3.522,9.0225,4.204,30732,13,7
3.022,9.0288,4.19,31310,13,7
3.39,9.0284,4.231,33957,13,8
1.594,9.0289,4.222,30926,13,8
3.073,9.0166,4.234,31021,13,8
4.47,9.0234,4.291,48136,13,9
5.1,9.0228,4.272,47295,13,9
5.97,9.0321,4.278,48349,13,9
4.28,9.0195,4.232,36504,13,10
6.4,9.0239,4.207,36405,13,10
5.77,9.0335,4.192,36038,13,10
6.7,9.027,4.31,50124,13,11
5.71,9.0201,4.316,49452,13,11
5.85,9.0252,4.324,49046,13,11
4.67,9.0201,4.289,36910,13,12
6.56,9.0191,4.276,36232,13,12
5.83,9.0201,4.272,35833,13,12
2.062,9.0226,4.224,37383,13,13
4.82,9.0244,4.241,36684,13,13
5.85,9.0283,4.233,37168,13,13
2.75,9.0189,4.278,33386,14,1
1.627,9.0208,4.291,32261,14,1
1.488,9.0317,4.281,31921,14,1
1.95,9.0247,4.321,36757,14,2
1.784,9.0164,4.31,36536,14,2
1.51,9.0311,4.306,35155,14,2
2.343,9.0339,4.274,33389,14,3
1.494,9.0164,4.262,32223,14,3
1.994,9.0164,4.273,32171,14,3
2.51,9.0303,4.292,37126,14,4
1.873,9.0221,4.289,36169,14,4
1.487,9.0226,4.285,35273,14,4
1.926,9.0189,4.235,36990,14,5
2.54,9.0201,4.262,36395,14,5
1.486,9.0259,4.26,36902,14,5
2.53,9.0269,4.229,33296,14,6
1.494,9.0342,4.24,32274,14,6
3.083,9.0193,4.226,32119,14,6
2.224,9.016,4.297,33503,14,7
1.682,9.0218,4.279,32131,14,7
1.483,9.0301,4.274,32291,14,7
3.05,9.0329,4.236,33004,14,8
1.571,9.032,4.23,32283,14,8
2.334,9.0159,4.232,32168,14,8
6.43,9.271,4.226,39993,14,9
5.81,9.0255,4.222,38861,14,9
6.29,9.0324,4.242,39637,14,9
4.625,9.0218,4.303,50148,14,10
4.59,9.0205,4.273,46988,14,10
1.489,9.0292,4.259,47369,14,10
4.64,9.0249,4.251,37178,14,11
5.98,9.0316,4.25,36603,14,11
6.61,9.0252,4.258,36783,14,11
4.68,9.0309,4.302,52570,14,12
6.5,9.0165,4.317,49149,14,12
4.13,9.0223,4.336,47838,14,12
4.7,9.0182,4.288,36508,14,13
3.59,9.0291,4.297,36282,14,13
7.38,9.0194,4.304,36609,14,13
3.87,9.0205,4.263,37002,14,14
7.99,9.0296,4.26,36350,14,14
4.1,9.0248,4.254,35497,14,14
1.427,9.0209,4.295,32834,15,1
1.879,9.023,4.287,32720,15,1
1.841,9.0313,4.283,31996,15,1
2.48,9.0233,4.307,36061,15,2
1.966,9.0167,4.321,37026,15,2
1.482,9.0329,4.307,35863,15,2
2.065,9.0367,4.291,33148,15,3
1.798,9.024,4.269,32772,15,3
1.485,9.024,4.275,31958,15,3
2.74,9.0239,4.267,36447,15,4
1.573,9.0218,4.29,36632,15,4
1.644,9.0175,4.291,35551,15,4
1.316,9.0194,4.26,37209,15,5
2.56,9.019,4.258,35020,15,5
1.408,9.0178,4.294,34397,15,5
2.052,9.0311,4.265,33310,15,6
2.697,9.034,4.276,32958,15,6
1.262,9.0198,4.262,32027,15,6
2.181,9.0194,4.304,33496,15,7
1.615,9.0292,4.276,32905,15,7
1.492,9.033,4.299,32112,15,7
2.75,9.0271,4.269,40628,15,8
1.578,9.0336,4.258,39859,15,8
2.259,9.0173,4.288,39207,15,8
3.02,9.0218,4.263,33233,15,9
1.5,9.0249,4.287,32703,15,9
1.238,9.031,4.293,31947,15,9
4.53,9.0239,4.289,39562,15,10
4.66,9.0246,4.28,38970,15,10
5.33,9.0335,4.298,39088,15,10
4.63,9.0263,4.292,47691,15,11
4.05,9.0344,4.273,46418,15,11
4.46,9.0167,4.251,46005,15,11
5.78,9.034,4.328,37608,15,12
7.17,9.0201,4.337,35446,15,12
4.09,9.0201,4.317,34617,15,12
2.263,9.0252,4.252,50070,15,13
3.43,9.0181,4.237,48536,15,13
5.2,9.0298,4.246,48817,15,13
5.59,9.035,4.3,37188,15,14
7.3,9.0198,4.284,35281,15,14
4.28,9.0251,4.289,33990,15,14
6.31,9.0212,4.289,36270,15,15
4.38,9.0231,4.292,37111,15,15
5.82,9.0327,4.268,35846,15,15
2.46,9.0218,4.28,32674,16,1
1.846,9.024,4.278,31451,16,1
1.476,9.0315,4.299,31250,16,1
2.378,9.0213,4.321,37193,16,2
1.472,9.0286,4.317,35242,16,2
1.48,9.0352,4.304,35669,16,2
2.65,9.0264,4.282,32893,16,3
1.541,9.019,4.258,31599,16,3
1.814,9.0308,4.266,30806,16,3
2.66,9.0336,4.266,37100,16,4
1.637,9.0248,4.265,35508,16,4
1.47,9.0203,4.274,35526,16,4
2.79,9.0285,4.285,33903,16,5
1.626,9.0233,4.32,33588,16,5
1.488,9.0226,4.294,34015,16,5
2.66,9.0246,4.291,33073,16,6
4.114,9.0341,4.296,32016,16,6
1.561,9.0177,4.286,31339,16,6
2.265,9.0268,4.3,32650,16,7
1.455,9.0317,4.284,31774,16,7
3.27,9.0187,4.3,30969,16,7
1.186,9.0168,4.283,40640,16,8
2.99,9.0263,4.286,39555,16,8
1.518,9.0307,4.278,39613,16,8
2.68,9.0282,4.277,32985,16,9
1.479,9.0362,4.289,31328,16,9
2.988,9.0182,4.274,31168,16,9
2.1,9.0247,4.287,40708,16,10
1.825,9.024,4.322,38675,16,10
1.512,9.0346,4.313,37748,16,10
3.16,9.0233,4.284,43351,16,11
5.55,9.0215,4.297,42089,16,11
2.191,9.0263,4.274,43704,16,11
4.35,9.0232,4.276,33941,16,12
5.01,9.033,4.268,32912,16,12
5.64,9.0169,4.298,34055,16,12
4.03,9.03,4.318,33842,16,13
3.47,9.0204,4.319,32969,16,13
4.64,9.0199,4.292,33858,16,13
3.16,9.0211,4.273,50809,16,14
3.53,9.0234,4.27,50639,16,14
6.06,9.0181,4.27,50436,16,14
2.961,9.0307,4.295,34399,16,15
4.34,9.0157,4.292,32837,16,15
2.126,9.0204,4.264,33851,16,15
4.83,9.0222,4.34,37516,16,16
6.49,9.0264,4.326,35348,16,16
5.51,9.0332,4.305,35761,16,16
2.023,9.0211,4.292,32873,17,1
2.465,9.022,4.304,32760,17,1
1.564,9.0331,4.3,33094,17,1
2.377,9.032,4.326,35426,17,2
1.813,9.0238,4.337,34481,17,2
1.473,9.0343,4.33,34239,17,2
2.9,9.0324,4.301,35471,17,3
1.485,9.0217,4.292,34120,17,3
1.576,9.0317,4.302,34058,17,3
1.271,9.0335,4.334,33173,17,4
1.495,9.0193,4.264,32402,17,4
2.57,9.0253,4.294,32998,17,4
2.497,9.0377,4.385,35256,17,5
1.351,9.0234,4.39,34320,17,5
1.545,9.0221,4.406,33938,17,5
3.82,9.0261,4.399,35517,17,6
1.578,9.033,4.417,34039,17,6
1.212,9.0182,4.434,34131,17,6
2.43,9.0295,4.404,32957,17,7
1.489,9.0284,4.402,32726,17,7
2.443,9.0249,4.396,33004,17,7
3.21,9.0169,4.436,32717,17,8
0.992,9.0271,4.444,32510,17,8
1.918,9.03,4.436,32968,17,8
1.318,9.0365,4.308,39896,17,9
2.72,9.0325,4.294,39748,17,9
2.807,9.0171,4.298,39177,17,9
2.319,9.0307,4.409,32479,17,10
1.068,9.0318,4.403,32559,17,10
1.274,9.0316,4.404,33053,17,10
3.13,9.0193,4.428,39280,17,11
3.68,9.0251,4.419,39336,17,11
3.98,9.0315,4.414,39308,17,11
5.52,9.0319,4.315,46126,17,12
4.71,9.0322,4.282,43356,17,12
4.52,9.0163,4.28,42529,17,12
4.35,9.0309,4.405,35283,17,13
3.63,9.0169,4.397,34173,17,13
4.22,9.0214,4.407,34036,17,13
3.21,9.026,4.332,34772,17,14
3.25,9.0237,4.309,34446,17,14
3.64,9.0159,4.314,33831,17,14
2.84,9.0308,4.376,44630,17,15
3.58,9.0153,4.372,43764,17,15
2.598,9.0205,4.384,44104,17,15
2.75,9.0239,4.301,34916,17,16
3.41,9.0331,4.287,34286,17,16
3.99,9.0178,4.286,34023,17,16
3.5,9.031,4.429,35348,17,17
3.66,9.0217,4.443,34231,17,17
3.47,9.039,4.432,34013,17,17
2.82,9.0227,4.286,32040,18,1
1.191,9.029,4.296,30501,18,1
1.715,9.0312,4.327,30780,18,1
2.75,9.0203,4.299,34754,18,2
1.716,9.031,4.306,34101,18,2
1.221,9.0189,4.338,33791,18,2
1.884,9.025,4.267,31734,18,3
1.187,9.0186,4.254,30521,18,3
2.8,9.0333,4.28,31017,18,3
2.85,9.0292,4.289,34645,18,4
1.493,9.0189,4.291,33881,18,4
1.462,9.0154,4.314,33784,18,4
2.392,9.0235,4.433,32071,18,5
1.909,9.0186,4.421,30467,18,5
1.499,9.0175,4.429,30877,18,5
1.993,9.0165,4.443,34853,18,6
2.27,9.0265,4.444,34016,18,6
1.293,9.0337,4.43,34045,18,6
2.431,9.0248,4.397,34924,18,7
1.301,9.0307,4.429,33303,18,7
1.563,9.0179,4.402,31172,18,7
1.461,9.0245,4.442,31739,18,8
1.547,9.0306,4.422,30793,18,8
2.85,9.0182,4.467,30906,18,8
2.81,9.0158,4.283,31749,18,9
3.215,9.0239,4.284,30732,18,9
2.61,9.0331,4.294,30912,18,9
2.76,9.0308,4.444,40347,18,10
1.471,9.0312,4.42,39207,18,10
1.332,9.0166,4.433,39870,18,10
3.82,9.0259,4.459,31808,18,11
3.42,9.0236,4.437,30688,18,11
3.91,9.044,4.441,31090,18,11
3.18,9.0193,4.27,37073,18,12
3.36,9.02,4.282,36091,18,12
4.22,9.0324,4.279,36516,18,12
3.07,9.025,4.471,43370,18,13
6.08,9.032,4.452,41588,18,13
3.81,9.0163,4.457,40260,18,13
1.823,9.0351,4.449,34258,18,14
1.794,9.0193,4.431,33447,18,14
2.042,9.0255,4.409,31266,18,14
4.78,9.028,4.317,35255,18,15
4.83,9.0323,4.321,33254,18,15
4.04,9.0162,4.303,31529,18,15
2.91,9.0318,4.413,44511,18,16
3.33,9.0162,4.396,43546,18,16
4.33,9.023,4.403,43831,18,16
3.63,9.021,4.28,34770,18,17
3.27,9.0412,4.29,33214,18,17
2.122,9.0195,4.28,31195,18,17
1.787,9.0269,4.452,34967,18,18
2.6,9.0233,4.472,34199,18,18
1.445,9.0381,4.469,34077,18,18
2.71,9.023,4.287,30850,19,1
1.73,9.0204,4.273,29849,19,1
1.494,9.0337,4.301,29910,19,1
2.383,9.0198,4.326,32811,19,2
1.925,9.0391,4.331,32155,19,2
1.678,9.0154,4.318,32207,19,2
1.782,9.0265,4.303,31323,19,3
2.33,9.0182,4.289,29923,19,3
1.002,9.0326,4.266,29854,19,3
3.04,9.0293,4.281,32351,19,4
1.845,9.0192,4.273,32103,19,4
1.486,9.0195,4.299,31906,19,4
0.823,9.023,4.459,30761,19,5
1.123,9.018,4.453,29783,19,5
3.34,9.0185,4.461,29827,19,5
2.81,9.0171,4.488,32609,19,6
1.573,9.0254,4.462,32179,19,6
1.487,9.0247,4.5,31864,19,6
1.459,9.0242,4.476,34871,19,7
2.71,9.0339,4.441,34808,19,7
1.019,9.0175,4.444,33833,19,7
2.49,9.0252,4.432,30793,19,8
2.185,9.024,4.455,29856,19,8
0.956,9.0173,4.449,30106,19,8
2.8,9.0152,4.509,31064,19,9
1.525,9.0239,4.491,29920,19,9
1.493,9.0343,4.519,29982,19,9
1.502,9.0287,4.272,40300,19,10
2.231,9.0332,4.28,39696,19,10
2.497,9.0176,4.31,39539,19,10
3.59,9.0185,4.464,30911,19,11
4.05,9.0248,4.47,29653,19,11
3.29,9.0335,4.453,30010,19,11
0.799,9.0296,4.487,37022,19,12
1.131,9.0305,4.503,35225,19,12
1.19,9.0187,4.468,35113,19,12
3.78,9.0232,4.299,45780,19,13
3.99,9.0242,4.292,43029,19,13
4.46,9.0289,4.288,42431,19,13
3.23,9.0226,4.487,34853,19,14
3.3,9.031,4.49,34392,19,14
3.95,9.0177,4.473,33995,19,14
2.223,9.0303,4.468,34883,19,15
2.011,9.0249,4.44,34455,19,15
1.026,9.0248,4.462,33933,19,15
1.81,9.0262,4.318,40487,19,16
3.16,9.0242,4.327,40382,19,16
3.66,9.0221,4.319,40245,19,16
3.63,9.0228,4.442,35334,19,17
3.02,9.0157,4.418,34440,19,17
3.68,9.0226,4.423,33817,19,17
3.19,9.0239,4.287,32833,19,18
3.35,9.0322,4.28,32401,19,18
3.39,9.0157,4.266,32016,19,18
1.135,9.0208,4.477,32576,19,19
3.5,9.0418,4.478,32452,19,19
3.61,9.0191,4.505,32113,19,19
2.75,9.027,4.299,30964,20,1
1.462,9.0247,4.283,30764,20,1
1.591,9.0245,4.285,30971,20,1
1.83,9.0206,4.321,33685,20,2
2.098,9.0354,4.307,31794,20,2
2.03,9.0188,4.313,32737,20,2
2.596,9.0238,4.281,31119,20,3
1.96,9.0178,4.27,30641,20,3
1.447,9.0329,4.273,31045,20,3
2.81,9.0321,4.294,33492,20,4
1.469,9.0179,4.29,32073,20,4
1.109,9.0257,4.274,32444,20,4
2.421,9.029,4.476,31125,20,5
1.683,9.0235,4.479,30349,20,5
1.813,9.0248,4.46,31026,20,5
2.67,9.0162,4.482,33866,20,6
1.763,9.0296,4.489,32108,20,6
1.59,9.0339,4.502,32692,20,6
1.943,9.0287,4.482,39654,20,7
2.39,9.0224,4.472,38554,20,7
1.898,9.0176,4.481,38240,20,7
2.325,9.0257,4.503,34614,20,8
2.88,9.0268,4.477,33430,20,8
1.288,9.0232,4.489,34399,20,8
3.89,9.0218,4.519,31027,20,9
1.25,9.0311,4.508,30430,20,9
1.121,9.0313,4.512,31054,20,9
2.133,9.0351,4.263,30948,20,10
1.557,9.0264,4.291,30827,20,10
2.387,9.0181,4.279,30976,20,10
2.387,9.0241,4.47,39595,20,11
2.256,9.0222,4.484,38493,20,11
1.419,9.0157,4.494,38289,20,11
1.91,9.0258,4.508,30915,20,12
3.05,9.0424,4.531,30599,20,12
3.31,9.0233,4.524,30968,20,12
2.82,9.0184,4.28,36493,20,13
3.76,9.0205,4.282,36507,20,13
3.55,9.0341,4.278,36516,20,13
2.67,9.0211,4.525,44727,20,14
2.009,9.0306,4.544,42416,20,14
2.161,9.0161,4.515,42700,20,14
