instanceID,experimentID,setid,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions,,mountPoint,,,,
i-00e88d0a4ab318520,1567221104-0,0,m5d.large,60.38229728,10,10,1,TPC-B (sort of),simple,60 s,27534,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01bb044066d1dfeb1,1567221104-0,0,m5d.large,60.46558261,10,10,1,TPC-B (sort of),simple,60 s,28096,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01bb044066d1dfeb1,1567221104-0,0,m5d.large,60.28987622,10,10,1,TPC-B (sort of),simple,60 s,27666,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01bb044066d1dfeb1,1567221104-0,0,m5d.large,60.28428078,10,10,1,TPC-B (sort of),simple,60 s,27541,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01e7161c13b3508c8,1567221104-0,0,m5d.large,60.4936142,10,10,1,TPC-B (sort of),simple,60 s,28412,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01e7161c13b3508c8,1567221104-0,0,m5d.large,60.32397008,10,10,1,TPC-B (sort of),simple,60 s,27469,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01e7161c13b3508c8,1567221104-0,0,m5d.large,60.27075434,10,10,1,TPC-B (sort of),simple,60 s,27489,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01e7b6b631ede7d01,1567221104-0,0,m5d.large,60.25973463,10,10,1,TPC-B (sort of),simple,60 s,28149,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01e7b6b631ede7d01,1567221104-0,0,m5d.large,60.25395417,10,10,1,TPC-B (sort of),simple,60 s,27242,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01e7b6b631ede7d01,1567221104-0,0,m5d.large,60.22996807,10,10,1,TPC-B (sort of),simple,60 s,27801,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01f297a511c451563,1567221104-0,0,m5d.large,60.30930257,10,10,1,TPC-B (sort of),simple,60 s,28488,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01f297a511c451563,1567221104-0,0,m5d.large,60.29669237,10,10,1,TPC-B (sort of),simple,60 s,27437,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-01f297a511c451563,1567221104-0,0,m5d.large,60.32231593,10,10,1,TPC-B (sort of),simple,60 s,27630,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-02025c7743e410e56,1567221104-0,0,m5d.large,60.2677815,10,10,1,TPC-B (sort of),simple,60 s,28060,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-02025c7743e410e56,1567221104-0,0,m5d.large,60.24315572,10,10,1,TPC-B (sort of),simple,60 s,27260,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-02025c7743e410e56,1567221104-0,0,m5d.large,60.23616409,10,10,1,TPC-B (sort of),simple,60 s,27666,,data_directory = '/var/lib/postgresql/9.5/main',,,,
i-027f8405282680db6,1567221104-0,0,m5d.large,60.36467671,10,10,1,TPC-B (sort of),simple,60 s,28083,,data_directory = '/var/lib/postgresql/9.5/main',,,,
