experimentID,set id,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num,Standard deviation,Average
1571978908-0,0,i-033c016e321407254,m5d.large,9.06371283531189,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1806.03ms,9.0322s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.03819894790649,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.05ms,9.0174s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.03564953804016,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.80ms,9.0162s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.04080438613891,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.57ms,9.0214s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.0752899646759,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1808.67ms,9.0544s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.03786873817443,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.05ms,9.0156s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.05391645431518,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1805.31ms,9.0308s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.0390248298645,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.83ms,9.0187s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.04078459739685,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1802.66ms,9.0179s,2,,
1571978908-0,0,i-033c016e321407254,m5d.large,9.06623244285583,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.54ms,9.0187s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.08187413215637,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1807.00ms,9.0424s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.05079364776611,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1804.87ms,9.0295s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.03986310958862,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.16ms,9.0189s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.0427770614624,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1803.14ms,9.0191s,2,,
1571978908-0,0,i-03c3e49dfdc90c04a,m5d.large,9.09055209159851,--test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1809.48ms,9.0681s,2,,
