"iperf","sysbench","ycruncher","pgbench","set","vm"
937,8.4549,7.545,65458.3333333333,8,5
955,8.453,7.563,65458.3333333333,8,5
679,8.4566,7.523,65458.3333333333,8,5
962,8.464,7.532,65458.3333333333,8,5
1058,8.4494,7.499,64493,8,6
1166,8.4584,7.492,65644,8,6
1185,8.4505,7.546,64762,8,6
1220,8.4543,7.546,64966.3333333333,8,6
1076,8.453,7.517,64966.3333333333,8,6
1174,8.4674,7.515,64966.3333333333,8,6
923,8.4559,7.53,64966.3333333333,8,6
976,8.4472,7.537,64966.3333333333,8,6
976,8.4511,7.531,64966.3333333333,8,6
912,8.4446,7.518,64966.3333333333,8,6
1213,8.4631,7.477,63863,8,7
820,8.4522,7.522,64208,8,7
1001,8.4535,7.525,63779,8,7
1153,8.4565,7.512,63950,8,7
1214,8.4543,7.503,63950,8,7
1204,8.4574,7.502,63950,8,7
977,8.458,7.509,63950,8,7
1149,8.4699,7.55,63950,8,7
1210,8.4549,7.511,63950,8,7
937,8.4555,7.513,63950,8,7
1225,8.4517,7.535,65559,8,8
1120,8.4487,7.538,66102,8,8
1028,8.4503,7.538,66307,8,8
1182,8.4516,7.6,65989.3333333333,8,8
1060,8.4513,7.555,65989.3333333333,8,8
1005,8.4479,7.543,65989.3333333333,8,8
933,8.4621,7.569,65989.3333333333,8,8
1148,8.4478,7.562,65989.3333333333,8,8
1216,8.4462,7.564,65989.3333333333,8,8
1095,8.453,7.559,65989.3333333333,8,8
1246,8.4577,7.502,65345,9,1
1025,8.4557,7.505,65470,9,1
1050,8.4511,7.554,65203,9,1
913,8.4567,7.605,65339.3333333333,9,1
886,8.4536,7.546,65339.3333333333,9,1
1227,8.4552,7.558,65339.3333333333,9,1
1206,8.4549,7.54,65339.3333333333,9,1
1202,8.4607,7.588,65339.3333333333,9,1
1186,8.4574,7.563,65339.3333333333,9,1
942,8.4483,7.568,65339.3333333333,9,1
973,8.4537,7.533,65100,9,2
1063,8.4518,7.537,64343,9,2
1022,8.456,7.531,64460,9,2
862,8.4545,7.607,64634.3333333333,9,2
1170,8.4558,7.543,64634.3333333333,9,2
1211,8.4521,7.569,64634.3333333333,9,2
1236,8.4572,7.572,64634.3333333333,9,2
1186,8.4676,7.618,64634.3333333333,9,2
1159,8.4489,7.564,64634.3333333333,9,2
972,8.4518,7.574,64634.3333333333,9,2
896,8.4563,7.519,64430,9,3
1127,8.4514,7.552,64501,9,3
1088,8.4516,7.542,64662,9,3
910,8.4574,7.601,64531,9,3
836,8.451,7.545,64531,9,3
912,8.4521,7.582,64531,9,3
987,8.466,7.592,64531,9,3
910,8.468,7.624,64531,9,3
975,8.4552,7.607,64531,9,3
1204,8.4519,7.62,64531,9,3
902,8.4506,7.266,62322,9,4
1073,8.4555,7.269,62581,9,4
1157,8.4541,7.264,61934,9,4
891,8.4504,7.287,62279,9,4
764,8.4526,7.31,62279,9,4
909,8.4631,7.258,62279,9,4
750,8.4586,7.262,62279,9,4
924,8.4534,7.263,62279,9,4
940,8.4568,7.254,62279,9,4
1212,8.4514,7.241,62279,9,4
1241,8.4605,7.494,65102,9,5
1140,8.4514,7.52,65218,9,5
1245,8.4512,7.509,64902,9,5
940,8.454,7.553,65074,9,5
935,8.4514,7.525,65074,9,5
918,8.4535,7.537,65074,9,5
909,8.46,7.535,65074,9,5
941,8.4514,7.589,65074,9,5
1237,8.4561,7.549,65074,9,5
1002,8.4623,7.555,65074,9,5
927,8.4455,7.492,64079,9,6
1219,8.4515,7.521,63767,9,6
1185,8.4453,7.543,64551,9,6
934,8.4454,7.571,64132.3333333333,9,6
934,8.4505,7.515,64132.3333333333,9,6
891,8.4521,7.544,64132.3333333333,9,6
949,8.4517,7.533,64132.3333333333,9,6
923,8.4477,7.598,64132.3333333333,9,6
945,8.4561,7.554,64132.3333333333,9,6
930,8.4452,7.557,64132.3333333333,9,6
997,8.4625,7.487,64005,9,7
1171,8.4529,7.503,63754,9,7
1050,8.4531,7.516,64341,9,7
956,8.4559,7.571,64033.3333333333,9,7
904,8.4531,7.512,64033.3333333333,9,7
913,8.4606,7.542,64033.3333333333,9,7
934,8.4597,7.543,64033.3333333333,9,7
915,8.4749,7.57,64033.3333333333,9,7
913,8.4577,7.545,64033.3333333333,9,7
1056,8.459,7.547,64033.3333333333,9,7
1218,8.4471,7.525,64818,9,8
1195,8.4547,7.557,64939,9,8
1059,8.4569,7.57,65710,9,8
893,8.4571,7.595,65155.6666666667,9,8
911,8.4558,7.54,65155.6666666667,9,8
888,8.4512,7.567,65155.6666666667,9,8
909,8.4693,7.577,65155.6666666667,9,8
899,8.4585,7.608,65155.6666666667,9,8
907,8.4523,7.562,65155.6666666667,9,8
1076,8.4527,7.571,65155.6666666667,9,8
1216,8.4622,7.228,64174,9,9
1002,8.4484,7.218,63991,9,9
972,8.4502,7.211,64384,9,9
1201,8.4541,7.24,64183,9,9
1185,8.4512,7.219,64183,9,9
1224,8.4542,7.23,64183,9,9
1132,8.4554,7.235,64183,9,9
1184,8.4535,7.252,64183,9,9
1219,8.4589,7.234,64183,9,9
1163,8.4454,7.22,64183,9,9
888,8.4513,7.492,65903,10,1
908,8.4469,7.616,64414,10,1
1176,8.4516,7.543,64645,10,1
1233,8.4481,7.565,64987.3333333333,10,1
1134,8.449,7.541,64987.3333333333,10,1
984,8.4516,7.541,64987.3333333333,10,1
892,8.452,7.561,64987.3333333333,10,1
830,8.4615,7.622,64987.3333333333,10,1
754,8.4508,7.607,64987.3333333333,10,1
878,8.4502,7.558,64987.3333333333,10,1
490,8.4547,7.494,64967,10,2
929,8.4517,7.619,64362,10,2
964,8.4601,7.531,64767,10,2
877,8.4532,7.546,64698.6666666667,10,2
916,8.4511,7.536,64698.6666666667,10,2
960,8.451,7.529,64698.6666666667,10,2
922,8.4534,7.561,64698.6666666667,10,2
823,8.4704,7.594,64698.6666666667,10,2
440,8.4514,7.585,64698.6666666667,10,2
862,8.4488,7.561,64698.6666666667,10,2
1199,8.4535,7.534,64640,10,3
938,8.4484,7.653,63615,10,3
975,8.4553,7.581,63058,10,3
926,8.4545,7.583,63771,10,3
751,8.4518,7.563,63771,10,3
901,8.4507,7.563,63771,10,3
569,8.4679,7.567,63771,10,3
878,8.4643,7.619,63771,10,3
1245,8.4526,7.578,63771,10,3
918,8.4576,7.585,63771,10,3
1002,8.4552,7.281,62703,10,4
933,8.4522,7.312,62277,10,4
911,8.4537,7.286,62616,10,4
922,8.4512,7.298,62532,10,4
915,8.4531,7.287,62532,10,4
911,8.4671,7.313,62532,10,4
936,8.4508,7.326,62532,10,4
902,8.4513,7.302,62532,10,4
785,8.4578,7.309,62532,10,4
1077,8.451,7.285,62532,10,4
1155,8.4584,7.45,65367,10,5
902,8.4462,7.584,65433,10,5
917,8.4514,7.532,65375,10,5
860,8.4508,7.529,65391.6666666667,10,5
871,8.4572,7.519,65391.6666666667,10,5
907,8.4518,7.53,65391.6666666667,10,5
995,8.4639,7.536,65391.6666666667,10,5
864,8.457,7.562,65391.6666666667,10,5
971,8.4523,7.581,65391.6666666667,10,5
1205,8.4649,7.567,65391.6666666667,10,5
1166,8.4516,7.465,64110,10,6
867,8.4515,7.608,64205,10,6
485,8.448,7.535,64151,10,6
898,8.4502,7.541,64155.3333333333,10,6
