instanceID,experimentID,instanceType,wallTime,clients,threads,scaleFactor,transactionsType,queryMode,duration,transactions
i-003c9b18c0ea5d149,1532132304,c3.large,60.318315744400024,10,10,1,TPC-B (sort of),simple,60 s,59306
i-003c9b18c0ea5d149,1532132304,c3.large,60.31139349937439,10,10,1,TPC-B (sort of),simple,60 s,59712
i-003c9b18c0ea5d149,1532132304,c3.large,60.3609504699707,10,10,1,TPC-B (sort of),simple,60 s,58982
i-003c9b18c0ea5d149,1532132304,c3.large,60.35022234916687,10,10,1,TPC-B (sort of),simple,60 s,58702
i-003c9b18c0ea5d149,1532132304,c3.large,60.282381534576416,10,10,1,TPC-B (sort of),simple,60 s,58446
i-07594cd3a982b9904,1532132304,c3.large,60.370656967163086,10,10,1,TPC-B (sort of),simple,60 s,59496
i-07594cd3a982b9904,1532132304,c3.large,60.27352046966553,10,10,1,TPC-B (sort of),simple,60 s,59665
i-07594cd3a982b9904,1532132304,c3.large,60.27602005004883,10,10,1,TPC-B (sort of),simple,60 s,59478
i-07594cd3a982b9904,1532132304,c3.large,60.33909010887146,10,10,1,TPC-B (sort of),simple,60 s,57842
i-07594cd3a982b9904,1532132304,c3.large,60.3264365196228,10,10,1,TPC-B (sort of),simple,60 s,55921
i-07594cd3a982b9904,1532132304,c3.large,60.30636930465698,10,10,1,TPC-B (sort of),simple,60 s,58579
i-07594cd3a982b9904,1532132304,c3.large,60.29249048233032,10,10,1,TPC-B (sort of),simple,60 s,55976
i-07594cd3a982b9904,1532132304,c3.large,60.32097125053406,10,10,1,TPC-B (sort of),simple,60 s,55781
i-07594cd3a982b9904,1532132304,c3.large,60.357712268829346,10,10,1,TPC-B (sort of),simple,60 s,57910
i-07594cd3a982b9904,1532132304,c3.large,60.27990365028381,10,10,1,TPC-B (sort of),simple,60 s,57737
i-07594cd3a982b9904,1532132304,c3.large,60.30157256126404,10,10,1,TPC-B (sort of),simple,60 s,57475
i-07594cd3a982b9904,1532132304,c3.large,60.363301277160645,10,10,1,TPC-B (sort of),simple,60 s,57619
i-07594cd3a982b9904,1532132304,c3.large,60.280168771743774,10,10,1,TPC-B (sort of),simple,60 s,58063
i-07594cd3a982b9904,1532132304,c3.large,60.30016493797302,10,10,1,TPC-B (sort of),simple,60 s,57993
i-07594cd3a982b9904,1532132304,c3.large,60.253719091415405,10,10,1,TPC-B (sort of),simple,60 s,54392
i-07594cd3a982b9904,1532132304,c3.large,60.286858320236206,10,10,1,TPC-B (sort of),simple,60 s,55358
i-07594cd3a982b9904,1532132304,c3.large,60.21210193634033,10,10,1,TPC-B (sort of),simple,60 s,56430
i-07594cd3a982b9904,1532132304,c3.large,60.26000118255615,10,10,1,TPC-B (sort of),simple,60 s,57911
i-07594cd3a982b9904,1532132304,c3.large,60.36080312728882,10,10,1,TPC-B (sort of),simple,60 s,56995
i-07594cd3a982b9904,1532132304,c3.large,60.35910964012146,10,10,1,TPC-B (sort of),simple,60 s,57279
