"
i-0c0ebb48ff15d726c,1551678497,c4.large,60.312987089157104,10,10,1,TPC-B (sort of),simple,60 s,65664,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.27660822868347,10,10,1,TPC-B (sort of),simple,60 s,69658,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.25291037559509,10,10,1,TPC-B (sort of),simple,60 s,69097,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.27484703063965,10,10,1,TPC-B (sort of),simple,60 s,68935,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.26740097999573,10,10,1,TPC-B (sort of),simple,60 s,68956,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.268685817718506,10,10,1,TPC-B (sort of),simple,60 s,68005,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.250869035720825,10,10,1,TPC-B (sort of),simple,60 s,67454,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.27358794212341,10,10,1,TPC-B (sort of),simple,60 s,67489,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.24624967575073,10,10,1,TPC-B (sort of),simple,60 s,67889,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.25623178482056,10,10,1,TPC-B (sort of),simple,60 s,67592,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.238412618637085,10,10,1,TPC-B (sort of),simple,60 s,67746,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.2363977432251,10,10,1,TPC-B (sort of),simple,60 s,68293,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.22848844528198,10,10,1,TPC-B (sort of),simple,60 s,67036,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0f3195e72440a8ca9,1551678497,c4.large,60.275388956069946,10,10,1,TPC-B (sort of),simple,60 s,67390,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0ea66894d8cef911f,1551678497,c4.large,60.29255962371826,10,10,1,TPC-B (sort of),simple,60 s,69060,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0ea66894d8cef911f,1551678497,c4.large,60.2511146068573,10,10,1,TPC-B (sort of),simple,60 s,68624,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
"
i-0ea66894d8cef911f,1551678497,c4.large,60.26197028160095,10,10,1,TPC-B (sort of),simple,60 s,67700,"data_directory = '/var/lib/postgresql/9.5/main'		# use data in another directory
