iperf,sysbench,ycruncher,pgbench,setId,vmId
1486,7.787042379,4.782114744,170507,6,1
1547,7.777822971,4.763955116,170403,6,1
1813,7.775463104,4.778538704,170418,6,1
6930,7.780905485,4.726881027,172123,6,2
5775,7.786357641,4.73596406,172163,6,2
6110,7.777495146,4.883065701,172128,6,2
7530,7.789822817,4.435360432,174828,6,3
9630,7.775232077,4.420976877,174638,6,3
8750,7.775272131,4.454733372,174119,6,3
7150,8.241131783,4.750952721,180898,6,4
9490,7.781974316,4.736475468,181831,6,4
8780,7.777528048,4.75330615,181373,6,4
7390,7.777279854,4.45808816,182313,6,5
9580,7.776204109,4.456329107,182213,6,5
9640,7.777337074,4.447346926,181879,6,5
7410,7.782205343,4.713215351,175153,6,6
9480,7.778749466,4.71385932,175027,6,6
8810,7.779855013,4.713543177,175243,6,6
1489,7.781449556,5.032711267,170359,7,1
1488,7.778389692,4.77657938,170592,7,1
1823,7.776751518,4.80948329,170728,7,1
1123,7.778664112,4.741031885,171076,7,2
3312,7.78233552,4.755584478,171687,7,2
1584,7.777919769,4.762919188,171608,7,2
6880,7.783221483,4.665506124,174215,7,3
6990,7.772886276,4.646279097,174046,7,3
7960,7.774948359,4.661329031,173997,7,3
9360,7.775244713,4.751362562,172945,7,4
9440,7.786661863,4.802621603,173513,7,4
7690,7.775250196,4.726616621,173479,7,4
9200,7.777978659,4.688602924,173676,7,5
9610,7.781792879,4.706578016,173323,7,5
9060,7.779298544,4.695783138,174059,7,5
9480,7.78484869,4.695818901,174801,7,6
6990,7.777488947,4.843730927,174861,7,6
8070,7.7774508,4.72873807,175175,7,6
9100,7.77678895,4.740427256,173581,7,7
7000,7.774086952,4.742764711,173901,7,7
9860,7.777094364,4.7479105,174148,7,7
1833,7.778730392,4.775790691,170301,8,1
1813,7.775450706,4.781126976,170005,8,1
1853,7.776403666,4.71828413,170723,8,1
1122,7.780487537,4.737793446,171233,8,2
1123,7.777505875,4.763613224,171560,8,2
2543,7.776580095,4.759414434,171918,8,2
1486,7.788084984,4.736708403,174362,8,3
5628,7.775687218,4.693991184,174563,8,3
3092,7.773760557,4.712455273,175134,8,3
6510,7.775065184,4.745992184,172979,8,4
6430,7.776694775,4.723775387,172671,8,4
7880,7.786880255,4.71932888,172939,8,4
6370,7.788790226,4.753343344,172278,8,5
7380,7.775173903,4.713408232,172796,8,5
8280,7.777483702,4.744320154,173020,8,5
9020,7.780454636,4.708293915,174965,8,6
6370,7.779411316,4.711667776,175031,8,6
6540,7.77860117,4.710727453,175123,8,6
9540,7.77635026,4.76832962,173111,8,7
9750,7.778794289,4.785078287,173824,8,7
9550,7.774811506,4.774513721,174189,8,7
7430,7.77906847,4.755840063,170089,8,8
7520,7.778786898,4.764303446,170348,8,8
7820,7.780960798,4.744807482,170891,8,8
1126,7.782018185,4.887200594,170225,9,1
1189,7.780288219,4.889108419,170766,9,1
1490,7.775862932,4.898936272,170914,9,1
1117,7.777603626,4.886769056,170991,9,2
1488,7.778282404,4.882459641,171430,9,2
1121,7.780728102,4.869342089,171595,9,2
4890,7.790631294,4.728718519,174555,9,3
1481,7.775092125,4.689166784,174531,9,3
1462,7.775135756,4.727366686,174258,9,3
1430,7.787281036,4.847486973,169015,9,4
5578,7.776003122,4.858471394,169039,9,4
1464,7.781836987,4.846111298,168805,9,4
7790,7.780892611,4.732387304,167958,9,5
6870,7.78085494,4.737835884,167795,9,5
8630,7.78099966,4.734589577,168011,9,5
8890,7.7827878,5.004437447,175223,9,6
5370,7.784240723,4.841394424,175070,9,6
9310,7.783989429,4.876082659,174817,9,6
6070,7.777946949,4.787400484,168458,9,7
9010,7.776973248,4.775036812,169366,9,7
6530,7.780263662,4.745180368,169756,9,7
8120,7.783915758,4.777233839,166296,9,8
5210,7.779690266,4.847984076,165354,9,8
8690,7.779726505,4.760586977,165913,9,8
7210,7.175895452,4.848005295,165387,9,9
6880,7.172788143,4.829991817,165249,9,9
8420,7.174608231,4.850344181,165371,9,9
1490,7.779849529,4.90985465,170548,10,1
1487,7.781635284,4.924459696,170809,10,1
1853,7.779715776,4.993292809,170802,10,1
1486,7.779728174,4.900256872,171780,10,2
1122,7.781028509,4.903268099,171265,10,2
1128,7.782968998,4.893767118,171173,10,2
2823,7.791146278,4.69700098,174969,10,3
1481,7.778424263,4.699622869,174805,10,3
1483,7.779784918,4.697247028,174683,10,3
1479,7.776845694,4.878328562,168607,10,4
4450,7.777181864,4.89283514,168198,10,4
2743,7.782058716,4.887358427,168530,10,4
5300,7.781639338,4.73474741,167831,10,5
1487,7.778208017,4.734182835,167891,10,5
2653,7.783052921,4.725229979,168015,10,5
