"","instanceID","sysbench","ycruncher","pgbench","iperf","setId","tenants"
"40","i-00d71d40b42658392",-0.28004450852853,0.937975984365045,-0.807675827294128,-0.808716690036588,35,35
"41","i-06b96f53253b4cc2e",1.10451873136652,0.91295447499155,-0.823302664105917,-0.65298482117146,35,35
"42","i-0d1c421d52c368b29",1.10520999947266,0.920912674696876,-0.913645907788276,-0.763506215073271,35,35
"43","i-0d136c81f43ce8a29",1.09815689395917,0.971990432194955,-0.84563214173737,-0.69040473908553,34,34
"44","i-0d1c421d52c368b29",1.10434929147403,0.170903945612124,-0.93823491589436,-0.714076316672103,34,34
"45","i-08ff78a502245298a",-0.279091898150871,0.893443259579906,-0.799871902713748,-0.469600661778796,34,34
"46","i-08559b79281547ef2",-0.27894053454974,0.166851299444742,-0.793966743238064,-0.536919621801283,33,33
"47","i-0cc4b604b837f69d9",-0.280771929017812,0.884534776645248,-0.88119601214867,-0.501906996057045,33,33
"48","i-0d44050a4e6a71d7c",-0.279898187135269,0.162163573738982,-0.842708043476127,-0.547875206319674,33,33
"49","i-02ca0e36a4acaf9fc",-0.68329874236676,0.938255677546936,-0.276857054619869,-0.54440151269149,32,32
"50","i-06b96f53253b4cc2e",1.10122003245667,0.134556249531683,-0.143373867758395,-0.261270631407309,32,32
"51","i-0ede59d8254436a40",1.10299991029253,0.900051854998122,-0.115481008370106,-0.586172012708757,32,32
"52","i-0507566c757134fb6",1.10381671265547,0.14303676805959,-0.163310901357906,-0.565562055066296,31,31
"53","i-067b2519b614c8f9d",1.10071889620962,0.190538285110808,-0.137620609491107,-0.401069977656955,31,31
"54","i-0ede59d8254436a40",1.10500435991137,0.188892433420338,-0.0264099373078865,-0.441757103183855,31,31
"55","i-08ff78a502245298a",-0.684359191389391,0.192784676833473,0.0498444692974457,-0.589555491186206,30,30
"56","i-067b2519b614c8f9d",1.0937282013864,0.212536495846452,-0.147304311525155,-0.610812370297987,30,30
"57","i-00ba7a56c944e5a25",-0.68497073467103,0.150494468239779,-0.00690961968247858,-0.363409837322667,30,30
"58","i-0507566c757134fb6",1.09623407216338,0.0929567232898939,-0.146772657295796,-0.713337199479091,29,29
"59","i-08e70b514c8c3cd5a",1.1022847150425,0.188991716170588,0.0620725165718323,-0.479153252544418,29,29
"60","i-02ca0e36a4acaf9fc",-0.686390279396313,0.21561628049353,0.0294327444217744,-0.722656935014407,29,29
"61","i-0837f0f6a7a42ac68",-0.685133562551436,0.146099787889221,0.480446419744845,0.119412656847315,28,28
"62","i-0977cb2af690d36fd",-0.277338230538409,0.0807163951205855,0.514890018744344,-0.594888656452031,28,28
"63","i-0d1c421d52c368b29",-0.265126157664599,0.0714954897045135,-0.284812880408645,-0.410514413182585,28,28
"64","i-0b138e3642a677559",-0.676867883254657,0.166692203551576,-0.136804140496041,-0.465602251029458,27,27
"65","i-0837f0f6a7a42ac68",-0.686624174635058,-0.464007053260129,0.46681328629295,0.27815158718777,27,27
"66","i-06b96f53253b4cc2e",-0.279852854350437,-0.515731980484145,-0.0234478637445305,-0.526140124768546,27,27
"67","i-0837f0f6a7a42ac68",-0.686498974171155,-0.509212558502816,0.520168585735472,0.109012939570435,26,26
"68","i-0f285214d5c41327e",-0.276022147441777,-0.571180239901093,0.438996377508889,-0.333900814529186,26,26
"69","i-02ca0e36a4acaf9fc",-0.678585113173864,0.179383157985657,0.412793419063816,-0.121985107692632,26,26
"70","i-0ba417327f988ba2b",-0.671166918250587,-0.553681973227192,-0.12839261108219,-0.134944257450686,25,25
"71","i-07998976f194caa97",-0.27783085177485,0.166872740128788,-0.101411158944165,0.16882544739116,25,25
"72","i-067b2519b614c8f9d",-0.281373292514287,0.15169992894775,-0.091936321071654,-0.070958418736388,25,25
"73","i-08ff78a502245298a",-0.684478351060003,0.142351182059538,0.620043630243484,-0.356488766367441,24,24
"74","i-0dcfa6d3bc470d28d",-0.685375924717056,0.109685285713553,0.00136899617406127,-0.537106191515744,24,24
"75","i-0977cb2af690d36fd",-0.682496972255703,0.228003321442188,0.882187140600493,-0.449368825675264,24,24
"76","i-0b138e3642a677559",-0.675156742411997,0.00768528683236009,-0.0353531209510961,0.0242891819301974,23,23
"77","i-0d136c81f43ce8a29",-0.688144518028044,0.123182590923809,0.580606279018564,-0.0421850368750421,23,23
"78","i-0c3e9f9e7b281edfe",-0.684861707100897,-0.565488861671155,0.69605119738528,0.492948186608364,23,23
"79","i-0d1c421d52c368b29",-0.685648731267828,-0.615425310552571,-0.049878674002169,-0.445689128839163,22,22
"80","i-002f7e27ea3e0bc1c",-0.682389039039402,0.159038549296272,0.0852184631982938,-0.0303653655245313,22,22
"81","i-084caea7d9c000ba9",-0.689673613658039,-0.217092801923279,0.0268694115304086,-0.497907871850864,22,22
"82","i-08ff78a502245298a",-0.680689219222365,-0.468799453821061,0.701918381558851,-0.409575681422034,21,21
"83","i-0d1c421d52c368b29",-0.681230075426126,-0.503607025516056,0.24710717602633,0.339948415194271,21,21
"84","i-0dcfa6d3bc470d28d",-0.680705249860099,-0.460366955061631,0.416135245648134,-0.50473130932374,21,21
"85","i-0009b7735dea24732",-0.68020787172589,-0.584439553288743,0.844002974344686,-0.547875206319674,20,20
"86","i-08e70b514c8c3cd5a",-0.68524344585241,-0.46973280350884,0.602783855441621,-0.0188374311791796,20,20
"87","i-0ba417327f988ba2b",-0.679764578813024,-0.55434557067565,0.394869076475283,0.129327883784394,20,20
"88","i-00d71d40b42658392",-0.687628397413353,-0.577841404455456,0.546143692367979,0.438220482482956,19,19
"89","i-02ca0e36a4acaf9fc",-0.683242611491837,-0.503129988537641,0.590043141589019,0.189265070738077,19,19
"90","i-0b138e3642a677559",-0.680556502532772,-0.602367806055403,0.489598467549535,-0.123938946299714,19,19
"91","i-0d1c421d52c368b29",-0.68515178109879,-0.568927993186373,0.457034646003704,0.733417545981587,18,18
"92","i-00ba7a56c944e5a25",-0.684365851086175,-0.530796115663206,0.63975281203043,0.402175390775226,18,18
"93","i-06b96f53253b4cc2e",-0.684836924026636,-0.643082886986973,0.620879086889578,0.0914697403501687,18,18
