instanceID,sysbench,ycruncher,pgbench,iperf,setId,tenants
i-0f285214d5c41327e,9.04333432522222,6.40957199222222,123640.666666666,1039.4,48,48
i-0f472084ac3992ad9,9.04453055066666,6.55292307011111,125537.333333333,1502.6,48,48
i-0009b7735dea24732,9.04861206488889,6.42541983388888,124874.666666666,1009.3,47,47
i-002f7e27ea3e0bc1c,9.05058134933333,6.49694808322222,123011,1157.6,47,47
i-007e12c9530b8cdea,9.05139901888889,6.41694294088888,121913,1018.9,47,47
i-008e6f72c7403b5d3,9.04852281688889,6.41918253888888,125413.333333333,1248.3,47,47
i-00ba7a56c944e5a25,9.05254048777778,6.55402527933333,124615.333333333,1403.5,47,47
i-00d71d40b42658392,9.048826615,6.60955013155555,122821.666666666,1028.7,47,47
i-01f539b055c2a5d34,9.04847290788889,6.426703665,124665.666666666,1127.6,47,47
i-0243a74ede206f760,9.04729231211111,6.46619359633333,124727,1020.5,47,47
i-02765ba82e12781a4,9.04921544922222,6.52325807666666,123073,1087.4,47,47
i-02ca0e36a4acaf9fc,9.05002625788889,6.49123464677777,122478,1115.7,47,47
i-040dfb2d2a1990b9d,9.04779654077777,6.44917334455555,123491,1068.7,47,47
i-048c3c6548c1a414a,9.04977345466666,6.596384075,123590.333333333,1013.4,47,47
i-0507566c757134fb6,9.05362860366666,6.54673123366666,124023.666666666,1177.7,47,47
i-05e473f8ff82c1527,9.05232771233333,6.41159741088888,124017.666666666,1298.2,47,47
i-067b2519b614c8f9d,9.05017603788888,6.38406875388888,123165.666666666,1029.5,47,47
i-06b96f53253b4cc2e,9.05060021099999,6.53071777022222,124210,1149.3,47,47
i-071a48cf857bce94f,9.05105969644444,6.52821699777777,122764.333333333,1266.2,47,47
i-07379900fe80899d6,9.05327502888888,6.52901297155555,123157,1096.3,47,47
i-0763ab86e85627573,9.05155862688889,6.545122438,115599.333333333,1364.5,47,47
i-07998976f194caa97,9.05080318455555,6.47673975077777,124298.666666666,1157.4,47,47
i-07be1c77f6fdf8eda,9.05416300544444,6.55573132311111,124603,855.3,47,47
i-07c76ac1348426483,9.04566007177777,6.53012975055555,121790.333333333,1457.6,47,47
i-0837f0f6a7a42ac68,9.05817121944444,6.51446273577777,124017.666666666,899,47,47
i-084caea7d9c000ba9,9.048520618,6.54799763366666,122709,876.2,47,47
i-08559b79281547ef2,9.05052275133333,6.51627847877777,123678.666666666,968.8,47,47
i-08e70b514c8c3cd5a,9.04733880366666,6.42287333811111,124678,1133.7,47,47
i-08ff78a502245298a,9.04622024955555,6.44045016499999,124997.333333333,983.1,47,47
i-095d06d26dd29ecec,9.04854488366666,6.52693544488888,124139.666666666,1058,47,47
