experimentID,instanceID,instanceType,wallTime,testOption,per-request-avg-time,total-time,thread-num
1540584033,i-02d0cd06760855c39,c4.large,8.475804329, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.70ms,8.4518s,2
1540584033,i-02d0cd06760855c39,c4.large,8.479094505, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.08ms,8.4547s,2
1540584033,i-02d0cd06760855c39,c4.large,8.476243734, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.63ms,8.4517s,2
1540584033,i-02d0cd06760855c39,c4.large,8.487399817, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.25ms,8.4601s,2
1540584033,i-02d0cd06760855c39,c4.large,8.479043007, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.50ms,8.4532s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477189779, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.21ms,8.4511s,2
1540584033,i-02d0cd06760855c39,c4.large,8.475397348, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.61ms,8.4510s,2
1540584033,i-02d0cd06760855c39,c4.large,8.478069782, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.08ms,8.4534s,2
1540584033,i-02d0cd06760855c39,c4.large,8.495511293, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1692.21ms,8.4704s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47726655, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.47ms,8.4514s,2
1540584033,i-02d0cd06760855c39,c4.large,8.473895788, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.67ms,8.4488s,2
1540584033,i-02d0cd06760855c39,c4.large,8.485008478, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.23ms,8.4600s,2
1540584033,i-02d0cd06760855c39,c4.large,8.480014801, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.14ms,8.4548s,2
1540584033,i-02d0cd06760855c39,c4.large,8.476164818, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.40ms,8.4511s,2
1540584033,i-02d0cd06760855c39,c4.large,8.480509758, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.30ms,8.4555s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477097511, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.07ms,8.4517s,2
1540584033,i-02d0cd06760855c39,c4.large,8.476478577, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.55ms,8.4518s,2
1540584033,i-02d0cd06760855c39,c4.large,8.476787806, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.96ms,8.4518s,2
1540584033,i-02d0cd06760855c39,c4.large,8.492939949, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.53ms,8.4677s,2
1540584033,i-02d0cd06760855c39,c4.large,8.484955549, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.69ms,8.4582s,2
1540584033,i-02d0cd06760855c39,c4.large,8.476887941, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.42ms,8.4514s,2
1540584033,i-02d0cd06760855c39,c4.large,8.482856274, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.27ms,8.4577s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47810483, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.60ms,8.4518s,2
1540584033,i-02d0cd06760855c39,c4.large,8.478093624, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.82ms,8.4540s,2
1540584033,i-02d0cd06760855c39,c4.large,8.481903076, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1690.37ms,8.4570s,2
1540584033,i-02d0cd06760855c39,c4.large,8.482288599, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.95ms,8.4557s,2
1540584033,i-02d0cd06760855c39,c4.large,8.476716042, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.71ms,8.4531s,2
1540584033,i-02d0cd06760855c39,c4.large,8.482109785, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.00ms,8.4549s,2
1540584033,i-02d0cd06760855c39,c4.large,8.491953611, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.53ms,8.4658s,2
1540584033,i-02d0cd06760855c39,c4.large,8.475867033, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.49ms,8.4511s,2
1540584033,i-02d0cd06760855c39,c4.large,8.476887226, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.44ms,8.4510s,2
1540584033,i-02d0cd06760855c39,c4.large,8.517937422, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1691.19ms,8.4618s,2
1540584033,i-02d0cd06760855c39,c4.large,8.477678776, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.68ms,8.4524s,2
1540584033,i-02d0cd06760855c39,c4.large,8.480626106, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.11ms,8.4503s,2
1540584033,i-02d0cd06760855c39,c4.large,8.480926037, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1689.23ms,8.4569s,2
1540584033,i-02d0cd06760855c39,c4.large,8.47984004, --test=cpu --cpu-max-prime=2000000 --num-threads=2 --max-requests=10 run,1688.90ms,8.4546s,2
