experimentID,instanceID,instanceType,wallTime,testOption,ram_write_speed,total-time,thread-num
1552172470,i-0fad930bd28f4ff02,c4.large,40.796324014663696, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2690.05,39.0327s,2
1552172470,i-0fad930bd28f4ff02,c4.large,41.23008680343628, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2729.15,38.4735s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.04899477958679199, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.04022073745727539, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,2.4672675132751465, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.05326128005981445, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.06109333038330078, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,10.668482303619385, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,41.59985661506653, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2752.49,38.1473s,2
1552172470,i-0fad930bd28f4ff02,c4.large,31.997379779815674, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3506.07,29.9481s,2
1552172470,i-0fad930bd28f4ff02,c4.large,35.703134298324585, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3113.21,33.7273s,2
1552172470,i-0fad930bd28f4ff02,c4.large,35.81177544593811, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3140.71,33.4319s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.05005192756652832, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.052835941314697266, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,37.259583473205566, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3099.10,33.8808s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.053400278091430664, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,31.95949125289917, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,2
1552172470,i-0fad930bd28f4ff02,c4.large,36.58032274246216, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3070.64,34.1948s,2
1552172470,i-0fad930bd28f4ff02,c4.large,37.763086557388306, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2933.27,35.7962s,2
1552172470,i-0fad930bd28f4ff02,c4.large,35.55967307090759, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3154.21,33.2888s,2
1552172470,i-0fad930bd28f4ff02,c4.large,35.22894024848938, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3202.79,32.7839s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.04617667198181152, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.06351494789123535, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,43.26040601730347, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2637.89,39.8045s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.04013848304748535, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.05285811424255371, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.05530977249145508, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,45.47425079345703, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2571.56,40.8312s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.056034088134765625, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,1.9950928688049316, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,38.51096749305725, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3080.17,34.0890s,2
1552172470,i-0fad930bd28f4ff02,c4.large,35.937700033187866, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3123.83,33.6126s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.04463648796081543, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.06198692321777344, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,2.7578885555267334, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.04769277572631836, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.04700207710266113, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,2.844573974609375, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,2
1552172470,i-0fad930bd28f4ff02,c4.large,39.66891098022461, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2854.72,36.7812s,2
1552172470,i-0fad930bd28f4ff02,c4.large,39.920318365097046, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2839.92,36.9728s,2
1552172470,i-0fad930bd28f4ff02,c4.large,33.07655620574951, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3405.66,30.8310s,2
1552172470,i-0fad930bd28f4ff02,c4.large,36.507936000823975, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3088.43,33.9979s,2
1552172470,i-0fad930bd28f4ff02,c4.large,37.7255437374115, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2969.52,35.3593s,2
1552172470,i-0fad930bd28f4ff02,c4.large,0.0463109016418457, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,0.04981255531311035, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-0fad930bd28f4ff02,c4.large,2.1563923358917236, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,2
1552172470,i-0fad930bd28f4ff02,c4.large,33.88412427902222, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3304.63,31.7736s,2
1552172470,i-0fad930bd28f4ff02,c4.large,31.975457429885864, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3492.37,30.0656s,2
1552172470,i-0fad930bd28f4ff02,c4.large,32.40881037712097, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3461.50,30.3337s,2
1552172470,i-0fad930bd28f4ff02,c4.large,37.91993856430054, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2957.42,35.5039s,2
1552172470,i-0fad930bd28f4ff02,c4.large,39.25555992126465, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,2863.12,36.6732s,2
1552172470,i-0fad930bd28f4ff02,c4.large,30.139747858047485, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3775.24,27.8128s,2
1552172470,i-0fad930bd28f4ff02,c4.large,30.074336767196655, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,3777.95,27.7928s,2
1552172470,i-0fad930bd28f4ff02,c4.large,21.906614303588867, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,5137.70,20.4372s,2
1552172470,i-0fad930bd28f4ff02,c4.large,18.430243968963623, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,6188.93,16.9658s,2
1552172470,i-05d1dc1524d13ac8d,c4.large,0.0314486026763916, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.022869348526000977, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.02421259880065918, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.02677464485168457, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.023653745651245117, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.02691817283630371, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.02471470832824707, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.022815704345703125, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.02371954917907715, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.0239255428314209, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.04024553298950195, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
1552172470,i-05d1dc1524d13ac8d,c4.large,0.02486562728881836, --num-threads=2 --test=memory --memory-block-size=3500M --memory-total-size=100G run,,,
