instanceID,instanceType,experimentID,interval,bandwidthUpload,bandwitdhDownload,setId,vmId,cmd,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,549 Mbits/sec,449 Mbits/sec,10,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,474 Mbits/sec,491 Mbits/sec,10,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,473 Mbits/sec,482 Mbits/sec,10,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,551 Mbits/sec,338 Mbits/sec,11,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,476 Mbits/sec,332 Mbits/sec,11,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,475 Mbits/sec,338 Mbits/sec,11,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,548 Mbits/sec,310 Mbits/sec,12,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,479 Mbits/sec,257 Mbits/sec,12,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,476 Mbits/sec,254 Mbits/sec,12,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,518 Mbits/sec,292 Mbits/sec,13,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,508 Mbits/sec,283 Mbits/sec,13,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,472 Mbits/sec,258 Mbits/sec,13,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,483 Mbits/sec,249 Mbits/sec,14,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,483 Mbits/sec,245 Mbits/sec,14,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,221 Mbits/sec,483 Mbits/sec,14,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,460 Mbits/sec,239 Mbits/sec,15,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,457 Mbits/sec,232 Mbits/sec,15,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,446 Mbits/sec,243 Mbits/sec,15,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,426 Mbits/sec,220 Mbits/sec,16,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,420 Mbits/sec,225 Mbits/sec,16,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-018b14bfcb432ead6,c3.large,1540010941,15.0 sec,423 Mbits/sec,227 Mbits/sec,16,8,iperf -c 18.209.108.204 --dualtest --window 416k --time 15 ,,,,
i-01599b82a84e1d7fa,c3.large,1540010941,15.0 sec,449 Mbits/sec,240 Mbits/sec,15,15,iperf -c 54.90.122.192 --dualtest --window 416k --time 15 ,,,,
i-01599b82a84e1d7fa,c3.large,1540010941,15.0 sec,456 Mbits/sec,230 Mbits/sec,15,15,iperf -c 54.90.122.192 --dualtest --window 416k --time 15 ,,,,
i-01599b82a84e1d7fa,c3.large,1540010941,15.0 sec,453 Mbits/sec,254 Mbits/sec,15,15,iperf -c 54.90.122.192 --dualtest --window 416k --time 15 ,,,,
i-01599b82a84e1d7fa,c3.large,1540010941,15.0 sec,431 Mbits/sec,229 Mbits/sec,16,15,iperf -c 54.90.122.192 --dualtest --window 416k --time 15 ,,,,
i-01599b82a84e1d7fa,c3.large,1540010941,15.0 sec,426 Mbits/sec,106 Mbits/sec,16,15,iperf -c 54.90.122.192 --dualtest --window 416k --time 15 ,,,,
i-01599b82a84e1d7fa,c3.large,1540010941,15.0 sec,420 Mbits/sec,227 Mbits/sec,16,15,iperf -c 54.90.122.192 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,551 Mbits/sec,295 Mbits/sec,12,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,475 Mbits/sec,262 Mbits/sec,12,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,476 Mbits/sec,252 Mbits/sec,12,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,519 Mbits/sec,285 Mbits/sec,13,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,509 Mbits/sec,256 Mbits/sec,13,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,253 Mbits/sec,470 Mbits/sec,13,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,485 Mbits/sec,274 Mbits/sec,14,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,485 Mbits/sec,265 Mbits/sec,14,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,490 Mbits/sec,243 Mbits/sec,14,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,462 Mbits/sec,248 Mbits/sec,15,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,455 Mbits/sec,220 Mbits/sec,15,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,443 Mbits/sec,227 Mbits/sec,15,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,423 Mbits/sec,229 Mbits/sec,16,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,424 Mbits/sec,213 Mbits/sec,16,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0eb7e4db47abfbad7,c3.large,1540010941,15.0 sec,421 Mbits/sec,223 Mbits/sec,16,12,iperf -c 54.85.111.164 --dualtest --window 416k --time 15 ,,,,
i-0d42a6b493028b64e,c3.large,1540010941,15.0 sec,427 Mbits/sec,241 Mbits/sec,16,16,iperf -c 54.165.209.106 --dualtest --window 416k --time 15 ,,,,
i-0d42a6b493028b64e,c3.large,1540010941,15.0 sec,419 Mbits/sec,229 Mbits/sec,16,16,iperf -c 54.165.209.106 --dualtest --window 416k --time 15 ,,,,
i-0d42a6b493028b64e,c3.large,1540010941,15.0 sec,418 Mbits/sec,213 Mbits/sec,16,16,iperf -c 54.165.209.106 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,547 Mbits/sec,547 Mbits/sec,7,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,473 Mbits/sec,472 Mbits/sec,7,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,475 Mbits/sec,450 Mbits/sec,7,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,547 Mbits/sec,547 Mbits/sec,8,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,473 Mbits/sec,472 Mbits/sec,8,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,474 Mbits/sec,472 Mbits/sec,8,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,548 Mbits/sec,548 Mbits/sec,9,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,471 Mbits/sec,473 Mbits/sec,9,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
i-019bf018b63917da9,c3.large,1540010941,15.0 sec,472 Mbits/sec,474 Mbits/sec,9,7,iperf -c 54.91.226.161 --dualtest --window 416k --time 15 ,,,,
