"","instanceID","testStartTime","computationTime","benchmarkTime","wallTime","set","vmID"
"1174","i-09172c03c58b3f6b2","Thu May 17 06:53:27 2018",7.659,7.868,8.32562327384949,1,12
"1175","i-09172c03c58b3f6b2","Thu May 17 06:53:36 2018",7.694,7.905,8.35097503662109,1,12
"1176","i-09172c03c58b3f6b2","Thu May 17 06:53:44 2018",7.696,7.906,8.34982991218567,1,12
"1177","i-09172c03c58b3f6b2","Thu May 17 06:53:53 2018",7.667,7.874,8.31791400909424,1,12
"1178","i-09172c03c58b3f6b2","Thu May 17 06:54:01 2018",7.654,7.869,8.31436038017273,1,12
"1179","i-09172c03c58b3f6b2","Thu May 17 06:54:10 2018",7.62,7.832,8.27797627449036,1,12
"1180","i-09172c03c58b3f6b2","Thu May 17 06:54:18 2018",7.618,7.83,8.27147746086121,1,12
"471","i-00009adade1b31e7b","Thu May 17 06:53:01 2018",7.679,7.852,8.38154125213623,1,13
"472","i-00009adade1b31e7b","Thu May 17 06:53:10 2018",7.672,7.882,8.32028341293335,1,13
"473","i-00009adade1b31e7b","Thu May 17 06:53:19 2018",7.648,7.924,8.35948443412781,1,13
"474","i-00009adade1b31e7b","Thu May 17 06:53:27 2018",7.656,7.928,8.37361693382263,1,13
"475","i-00009adade1b31e7b","Thu May 17 06:53:36 2018",7.667,7.878,8.31881809234619,1,13
"476","i-00009adade1b31e7b","Thu May 17 06:53:44 2018",7.679,7.895,8.34344601631165,1,13
"477","i-00009adade1b31e7b","Thu May 17 06:53:53 2018",7.663,7.871,8.3123037815094,1,13
"478","i-00009adade1b31e7b","Thu May 17 06:54:01 2018",7.635,7.843,8.28709530830383,1,13
"479","i-00009adade1b31e7b","Thu May 17 06:54:10 2018",7.624,7.84,8.28392791748047,1,13
"480","i-00009adade1b31e7b","Thu May 17 06:54:18 2018",7.622,7.833,8.2729184627533,1,13
"601","i-01ecd3a6588e5aa89","Thu May 17 06:53:01 2018",7.687,7.853,8.38162064552307,1,14
"602","i-01ecd3a6588e5aa89","Thu May 17 06:53:10 2018",7.683,7.971,8.43774938583374,1,14
"603","i-01ecd3a6588e5aa89","Thu May 17 06:53:18 2018",7.667,7.98,8.45187735557556,1,14
"604","i-01ecd3a6588e5aa89","Thu May 17 06:53:27 2018",7.639,7.963,8.42948770523071,1,14
"605","i-01ecd3a6588e5aa89","Thu May 17 06:53:36 2018",7.687,7.944,8.40877795219421,1,14
"606","i-01ecd3a6588e5aa89","Thu May 17 06:53:44 2018",7.696,7.982,8.44538187980652,1,14
"607","i-01ecd3a6588e5aa89","Thu May 17 06:53:53 2018",7.638,7.881,8.34679102897644,1,14
"608","i-01ecd3a6588e5aa89","Thu May 17 06:54:02 2018",7.639,7.884,8.3575611114502,1,14
"609","i-01ecd3a6588e5aa89","Thu May 17 06:54:10 2018",7.601,7.841,8.30140352249146,1,14
"610","i-01ecd3a6588e5aa89","Thu May 17 06:54:19 2018",7.617,7.859,8.31423497200012,1,14
"741","i-0bb826504330a1f18","Thu May 17 06:53:01 2018",7.738,7.907,8.44773507118225,1,15
"742","i-0bb826504330a1f18","Thu May 17 06:53:10 2018",7.729,8.031,8.50594568252563,1,15
"743","i-0bb826504330a1f18","Thu May 17 06:53:19 2018",7.71,8.026,8.50494170188904,1,15
"744","i-0bb826504330a1f18","Thu May 17 06:53:27 2018",7.675,7.923,8.40966820716858,1,15
"745","i-0bb826504330a1f18","Thu May 17 06:53:36 2018",7.716,7.949,8.42556667327881,1,15
"746","i-0bb826504330a1f18","Thu May 17 06:53:45 2018",7.735,7.972,8.44729900360107,1,15
"747","i-0bb826504330a1f18","Thu May 17 06:53:53 2018",7.668,7.902,8.37482333183289,1,15
"748","i-0bb826504330a1f18","Thu May 17 06:54:02 2018",7.654,7.893,8.36532926559448,1,15
"749","i-0bb826504330a1f18","Thu May 17 06:54:11 2018",7.644,7.972,8.44347262382507,1,15
"750","i-0bb826504330a1f18","Thu May 17 06:54:19 2018",7.611,7.844,8.31218385696411,1,15
"251","i-09beebdc6ecc05b02","Thu May 17 06:53:01 2018",7.701,7.876,8.40704798698425,1,16
"252","i-09beebdc6ecc05b02","Thu May 17 06:53:09 2018",7.726,7.97,8.4122462272644,1,16
"253","i-09beebdc6ecc05b02","Thu May 17 06:53:18 2018",7.698,7.965,8.40677309036255,1,16
"254","i-09beebdc6ecc05b02","Thu May 17 06:53:27 2018",7.671,7.883,8.32218933105469,1,16
"255","i-09beebdc6ecc05b02","Thu May 17 06:53:35 2018",7.689,7.892,8.33924102783203,1,16
