"","instanceID","testStartTime","computationTime","benchmarkTime","wallTime","set","vmID"
"807","i-0db07fe843fe06fd3","Thu May 24 06:39:53 2018",7.914,8.127,8.56408452987671,12,16
"808","i-0db07fe843fe06fd3","Thu May 24 06:40:02 2018",7.908,8.124,8.56465005874634,12,16
"809","i-0db07fe843fe06fd3","Thu May 24 06:40:11 2018",7.903,8.121,8.55756425857544,12,16
"810","i-0db07fe843fe06fd3","Thu May 24 06:40:20 2018",7.869,8.084,8.52306437492371,12,16
"811","i-0db07fe843fe06fd3","Thu May 24 06:42:02 2018",7.847,8.012,8.46397542953491,13,16
"812","i-0db07fe843fe06fd3","Thu May 24 06:42:10 2018",7.863,8.082,8.52036285400391,13,16
"813","i-0db07fe843fe06fd3","Thu May 24 06:42:19 2018",7.888,8.109,8.5541045665741,13,16
"814","i-0db07fe843fe06fd3","Thu May 24 06:42:28 2018",7.91,8.145,8.58736276626587,13,16
"815","i-0db07fe843fe06fd3","Thu May 24 06:42:37 2018",7.899,8.129,8.56967115402222,13,16
"816","i-0db07fe843fe06fd3","Thu May 24 06:42:45 2018",7.895,8.119,8.56098651885986,13,16
"817","i-0db07fe843fe06fd3","Thu May 24 06:42:54 2018",7.928,8.148,8.58685898780823,13,16
"818","i-0db07fe843fe06fd3","Thu May 24 06:43:03 2018",7.959,8.175,8.61012268066406,13,16
"819","i-0db07fe843fe06fd3","Thu May 24 06:43:12 2018",7.937,8.148,8.58316326141357,13,16
"820","i-0db07fe843fe06fd3","Thu May 24 06:43:21 2018",7.896,8.11,8.54173111915588,13,16
"821","i-0db07fe843fe06fd3","Thu May 24 06:45:01 2018",7.8,7.971,8.40877842903137,14,16
"822","i-0db07fe843fe06fd3","Thu May 24 06:45:10 2018",7.88,8.094,8.53440427780151,14,16
"823","i-0db07fe843fe06fd3","Thu May 24 06:45:19 2018",7.877,8.088,8.52480816841125,14,16
"824","i-0db07fe843fe06fd3","Thu May 24 06:45:27 2018",7.868,8.087,8.52540183067322,14,16
"825","i-0db07fe843fe06fd3","Thu May 24 06:45:36 2018",7.905,8.115,8.55240845680237,14,16
"826","i-0db07fe843fe06fd3","Thu May 24 06:45:45 2018",7.931,8.139,8.58223271369934,14,16
"827","i-0db07fe843fe06fd3","Thu May 24 06:45:54 2018",7.894,8.104,8.54214024543762,14,16
"828","i-0db07fe843fe06fd3","Thu May 24 06:46:03 2018",7.895,8.107,8.54168152809143,14,16
"829","i-0db07fe843fe06fd3","Thu May 24 06:46:11 2018",7.923,8.133,8.57147741317749,14,16
"830","i-0db07fe843fe06fd3","Thu May 24 06:46:20 2018",7.866,8.077,8.5134756565094,14,16
"831","i-0db07fe843fe06fd3","Thu May 24 06:48:01 2018",7.776,7.937,8.38351893424988,15,16
"832","i-0db07fe843fe06fd3","Thu May 24 06:48:09 2018",7.827,8.047,8.48234081268311,15,16
"833","i-0db07fe843fe06fd3","Thu May 24 06:48:18 2018",7.837,8.055,8.49961042404175,15,16
"834","i-0db07fe843fe06fd3","Thu May 24 06:48:27 2018",7.871,8.089,8.52902579307556,15,16
"835","i-0db07fe843fe06fd3","Thu May 24 06:48:36 2018",7.806,8.02,8.4556303024292,15,16
"836","i-0db07fe843fe06fd3","Thu May 24 06:48:44 2018",7.863,8.073,8.51504874229431,15,16
"837","i-0db07fe843fe06fd3","Thu May 24 06:48:53 2018",7.855,8.068,8.51528334617615,15,16
"838","i-0db07fe843fe06fd3","Thu May 24 06:49:02 2018",7.892,8.101,8.54166030883789,15,16
"839","i-0db07fe843fe06fd3","Thu May 24 06:49:11 2018",7.866,8.08,8.52312350273132,15,16
"840","i-0db07fe843fe06fd3","Thu May 24 06:49:19 2018",7.857,8.074,8.51074409484863,15,16
"841","i-0db07fe843fe06fd3","Thu May 24 06:51:01 2018",7.884,8.05,8.48724579811096,16,16
"842","i-0db07fe843fe06fd3","Thu May 24 06:51:10 2018",7.857,8.07,8.50453925132751,16,16
"843","i-0db07fe843fe06fd3","Thu May 24 06:51:19 2018",7.891,8.099,8.56319642066956,16,16
"844","i-0db07fe843fe06fd3","Thu May 24 06:51:27 2018",7.873,8.087,8.53247117996216,16,16
"845","i-0db07fe843fe06fd3","Thu May 24 06:51:36 2018",7.908,8.124,8.56900453567505,16,16
"846","i-0db07fe843fe06fd3","Thu May 24 06:51:45 2018",7.878,8.093,8.53614640235901,16,16
"847","i-0db07fe843fe06fd3","Thu May 24 06:51:54 2018",7.922,8.135,8.57678484916687,16,16
"848","i-0db07fe843fe06fd3","Thu May 24 06:52:02 2018",7.928,8.146,8.59683322906494,16,16
"849","i-0db07fe843fe06fd3","Thu May 24 06:52:11 2018",7.957,8.174,8.62451601028442,16,16
"850","i-0db07fe843fe06fd3","Thu May 24 06:52:20 2018",7.913,8.126,8.56850624084473,16,16
"971","i-0b6c44abce0aba12f","Thu May 24 06:09:02 2018",7.218,7.394,8.19337630271912,2,15
"972","i-0b6c44abce0aba12f","Thu May 24 06:09:10 2018",7.223,7.427,7.85876870155334,2,15
"973","i-0b6c44abce0aba12f","Thu May 24 06:09:18 2018",7.232,7.437,7.86934328079224,2,15
"974","i-0b6c44abce0aba12f","Thu May 24 06:09:26 2018",7.226,7.426,7.85657978057861,2,15
"975","i-0b6c44abce0aba12f","Thu May 24 06:09:34 2018",7.249,7.447,7.88209414482117,2,15
"976","i-0b6c44abce0aba12f","Thu May 24 06:09:43 2018",7.223,7.421,7.85515952110291,2,15
"977","i-0b6c44abce0aba12f","Thu May 24 06:09:51 2018",7.237,7.435,7.86860966682434,2,15
